Year,Category,Type,Name,Birth_City,Birth_Country,Sex,Organization_Name,Organization_City,Organization_Country
1949,Medicine,Individual,Walter Rudolf Hess,Frauenfeld,Switzerland,Male,University of Zurich,Zurich,Switzerland
1949,Medicine,Individual,Antonio Caetano de Abreu Freire Egas Moniz,Avanca,Portugal,Male,University of Lisbon,Lisbon,Portugal
1949,Medicine,Individual,Antonio Caetano de Abreu Freire Egas Moniz,Avanca,Portugal,Male,Neurological Institute,Lisbon,Portugal
1949,Peace,Individual,Lord (John) Boyd Orr of Brechin,Kilmaurs,Scotland,Male,,,
1949,Physics,Individual,Hideki Yukawa,Tokyo,Japan,Male,Kyoto Imperial University,Kyoto,Japan
1949,Physics,Individual,Hideki Yukawa,Tokyo,Japan,Male,Columbia University,"New York, NY",United States of America
1950,Chemistry,Individual,Otto Paul Hermann Diels,Hamburg,Germany,Male,Kiel University,Kiel,Federal Republic of Germany
1950,Chemistry,Individual,Kurt Alder,Königshütte (Chorzów),Prussia (Poland),Male,Cologne University,Cologne,Federal Republic of Germany
1950,Literature,Individual,Earl (Bertrand Arthur William) Russell,Trelleck,United Kingdom,Male,,,
1950,Medicine,Individual,Edward Calvin Kendall,"South Norwalk, CT",United States of America,Male,Mayo Clinic,"Rochester, MN",United States of America
1950,Medicine,Individual,Tadeus Reichstein,Wloclawek,Poland,Male,Basel University,Basel,Switzerland
1950,Medicine,Individual,Philip Showalter Hench,"Pittsburgh, PA",United States of America,Male,Mayo Clinic,"Rochester, MN",United States of America
1950,Peace,Individual,Ralph Bunche,"Detroit, MI",United States of America,Male,Harvard University,"Cambridge, MA",United States of America
1950,Physics,Individual,Cecil Frank Powell,Tonbridge,United Kingdom,Male,Bristol University,Bristol,United Kingdom
1951,Chemistry,Individual,Edwin Mattison McMillan,"Redondo Beach, CA",United States of America,Male,University of California,"Berkeley, CA",United States of America
1951,Chemistry,Individual,Glenn Theodore Seaborg,"Ishpeming, MI",United States of America,Male,University of California,"Berkeley, CA",United States of America
1951,Literature,Individual,Pär Fabian Lagerkvist,Växjö,Sweden,Male,,,
1951,Medicine,Individual,Max Theiler,Pretoria,South Africa,Male,"Laboratories of the Division of Medicine and Public Health, Rockefeller Foundation","New York, NY",United States of America
1951,Peace,Individual,Léon Jouhaux,Paris,France,Male,,,
1951,Physics,Individual,Sir John Douglas Cockcroft,Todmorden,United Kingdom,Male,Atomic Energy Research Establishment,"Harwell, Berkshire",United Kingdom
1951,Physics,Individual,Ernest Thomas Sinton Walton,Dungarvan,Ireland,Male,Trinity College,Dublin,Ireland
1952,Chemistry,Individual,Archer John Porter Martin,London,United Kingdom,Male,National Institute for Medical Research,London,United Kingdom
1952,Chemistry,Individual,Richard Laurence Millington Synge,Liverpool,United Kingdom,Male,Rowett Research Institute,Bucksburn (Scotland),United Kingdom
1952,Literature,Individual,François Mauriac,Bordeaux,France,Male,,,
1952,Medicine,Individual,Selman Abraham Waksman,Priluka (Nova Pryluka),Russian Empire (Ukraine),Male,Rutgers University,"New Brunswick, NJ",United States of America
1952,Peace,Individual,Albert Schweitzer,Kaysersberg,Germany (France),Male,,,
1952,Physics,Individual,Felix Bloch,Zurich,Switzerland,Male,Stanford University,"Stanford, CA",United States of America
1952,Physics,Individual,Edward Mills Purcell,"Taylorville, IL",United States of America,Male,Harvard University,"Cambridge, MA",United States of America
1953,Chemistry,Individual,Hermann Staudinger,Worms,Germany,Male,University of Freiburg,Breisgau,Federal Republic of Germany
1953,Chemistry,Individual,Hermann Staudinger,Worms,Germany,Male,"Staatliches Institut für makromolekulare Chemie (State Research Institute for Macromolecular Chemistry), Freiburg",Breisgau,Federal Republic of Germany
1953,Literature,Individual,Sir Winston Leonard Spencer Churchill,Woodstock,United Kingdom,Male,,,
1953,Medicine,Individual,Hans Adolf Krebs,Hildesheim,Germany,Male,Sheffield University,Sheffield,United Kingdom
1953,Medicine,Individual,Fritz Albert Lipmann,Koenigsberg (Kaliningrad),Germany (Russia),Male,Harvard Medical School,"Boston, MA",United States of America
1953,Medicine,Individual,Fritz Albert Lipmann,Koenigsberg (Kaliningrad),Germany (Russia),Male,Massachusetts General Hospital,"Boston, MA",United States of America
1953,Peace,Individual,George Catlett Marshall,"Uniontown, PA",United States of America,Male,,,
1953,Physics,Individual,Frits Zernike,Amsterdam,Netherlands,Male,Groningen University,Groningen,Netherlands
1954,Chemistry,Individual,Linus Carl Pauling,"Portland, OR",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America
1954,Literature,Individual,Ernest Miller Hemingway,"Oak Park, IL",United States of America,Male,,,
1954,Medicine,Individual,John Franklin Enders,"West Hartford, CT",United States of America,Male,Harvard Medical School,"Boston, MA",United States of America
1954,Medicine,Individual,John Franklin Enders,"West Hartford, CT",United States of America,Male,"Research Division of Infectious Diseases, Children's Medical Center","Boston, MA",United States of America
1954,Medicine,Individual,Thomas Huckle Weller,"Ann Arbor, MI",United States of America,Male,"Research Division of Infectious Diseases, Children's Medical Center","Boston, MA",United States of America
1954,Medicine,Individual,Frederick Chapman Robbins,"Auburn, AL",United States of America,Male,Western Reserve University,"Cleveland, OH",United States of America
1954,Peace,Organization,Office of the United Nations High Commissioner for Refugees (UNHCR),,,,,,
1954,Physics,Individual,Max Born,Breslau (Wroclaw),Germany (Poland),Male,Edinburgh University,Edinburgh,United Kingdom
1954,Physics,Individual,Walther Bothe,Oranienburg,Germany,Male,University of Heidelberg,Heidelberg,Federal Republic of Germany
1954,Physics,Individual,Walther Bothe,Oranienburg,Germany,Male,Max-Planck-Institut für medizinische Forschung,Heidelberg,Federal Republic of Germany
1955,Chemistry,Individual,Vincent du Vigneaud,"Chicago, IL",United States of America,Male,Cornell University,"Ithaca, NY",United States of America
1955,Literature,Individual,Halldór Kiljan Laxness,Reykjavik,Iceland,Male,,,
1955,Medicine,Individual,Axel Hugo Theodor Theorell,Linköping,Sweden,Male,"Karolinska Institutet, Nobel Medical Institute",Stockholm,Sweden
1955,Physics,Individual,Willis Eugene Lamb,"Los Angeles, CA",United States of America,Male,Stanford University,"Stanford, CA",United States of America
1955,Physics,Individual,Polykarp Kusch,Blankenburg,Germany,Male,Columbia University,"New York, NY",United States of America
1956,Chemistry,Individual,Sir Cyril Norman Hinshelwood,London,United Kingdom,Male,University of Oxford,Oxford,United Kingdom
1956,Chemistry,Individual,Nikolay Nikolaevich Semenov,Saratov,Russia,Male,Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,Union of Soviet Socialist Republics
1956,Literature,Individual,Juan Ramón Jiménez,Moguer,Spain,Male,,,
1956,Medicine,Individual,André Frédéric Cournand,Paris,France,Male,"Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital","New York, NY",United States of America
1956,Medicine,Individual,Werner Forssmann,Berlin,Germany,Male,Mainz University,Mainz,Federal Republic of Germany
1956,Medicine,Individual,Werner Forssmann,Berlin,Germany,Male,,Bad Kreuznach,Federal Republic of Germany
1956,Medicine,Individual,Dickinson W. Richards,"Orange, NJ",United States of America,Male,Columbia University,"New York, NY",United States of America
1956,Physics,Individual,William Bradford Shockley,London,United Kingdom,Male,"Semiconductor Laboratory of Beckman Instruments, Inc.","Mountain View, CA",United States of America
1956,Physics,Individual,John Bardeen,"Madison, WI",United States of America,Male,University of Illinois,"Urbana, IL",United States of America
1956,Physics,Individual,Walter Houser Brattain,Amoy,China,Male,Bell Telephone Laboratories,"Murray Hill, NJ",United States of America
1957,Chemistry,Individual,Lord (Alexander R.) Todd,Glasgow,Scotland,Male,University of Cambridge,Cambridge,United Kingdom
1957,Literature,Individual,Albert Camus,Mondovi,French Algeria (Algeria),Male,,,
1957,Medicine,Individual,Daniel Bovet,Neuchâtel,Switzerland,Male,Istituto Superiore di Sanità (Chief Institute of Public Health),Rome,Italy
1957,Peace,Individual,Lester Bowles Pearson,Toronto,Canada,Male,,,
1957,Physics,Individual,Chen Ning Yang,"Hofei, Anhwei",China,Male,Institute for Advanced Study,"Princeton, NJ",United States of America
1957,Physics,Individual,Tsung-Dao (T.D.) Lee,Shanghai,China,Male,Columbia University,"New York, NY",United States of America
1958,Chemistry,Individual,Frederick Sanger,Rendcombe,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom
1958,Literature,Individual,Boris Leonidovich Pasternak,Moscow,Russia,Male,,,
1958,Medicine,Individual,George Wells Beadle,"Wahoo, NE",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America
1958,Medicine,Individual,Edward Lawrie Tatum,"Boulder, CO",United States of America,Male,Rockefeller Institute for Medical Research,"New York, NY",United States of America
1958,Medicine,Individual,Joshua Lederberg,"Montclair, NJ",United States of America,Male,University of Wisconsin,"Madison, WI",United States of America
1958,Peace,Individual,Georges Pire,Dinant,Belgium,Male,,,
1958,Physics,Individual,Pavel Alekseyevich Cherenkov,Novaya Chigla,Russia,Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics
1958,Physics,Individual,Igor Yevgenyevich Tamm,Vladivostok,Russia,Male,University of Moscow,Moscow,Union of Soviet Socialist Republics
1958,Physics,Individual,Igor Yevgenyevich Tamm,Vladivostok,Russia,Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics
1958,Physics,Individual,Il´ja Mikhailovich Frank,Leningrad (Saint Petersburg),Russia,Male,University of Moscow,Moscow,Union of Soviet Socialist Republics
1958,Physics,Individual,Il´ja Mikhailovich Frank,Leningrad (Saint Petersburg),Russia,Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics
1959,Chemistry,Individual,Jaroslav Heyrovsky,Prague,Austria-Hungary (Czech Republic),Male,Polarographic Institute of the Czechoslovak Academy of Science,Prague,Czechoslovakia
1959,Literature,Individual,Salvatore Quasimodo,Modica,Italy,Male,,,
1959,Medicine,Individual,Severo Ochoa,Luarca,Spain,Male,"New York University, College of Medicine","New York, NY",United States of America
1959,Medicine,Individual,Arthur Kornberg,"Brooklyn, NY",United States of America,Male,Stanford University,"Stanford, CA",United States of America
1959,Peace,Individual,Philip J. Noel-Baker,London,United Kingdom,Male,,,
1959,Physics,Individual,Emilio Gino Segrè,Tivoli,Italy,Male,University of California,"Berkeley, CA",United States of America
1959,Physics,Individual,Owen Chamberlain,"San Francisco, CA",United States of America,Male,University of California,"Berkeley, CA",United States of America
1960,Chemistry,Individual,Willard Frank Libby,"Grand Valley, CO",United States of America,Male,University of California,"Los Angeles, CA",United States of America
1960,Literature,Individual,Saint-John Perse,Pointe-à-Pitre,Guadeloupe Island,Male,,,
1960,Medicine,Individual,Sir Frank Macfarlane Burnet,Traralgon,Australia,Male,Walter and Eliza Hall Institute for Medical Research,Melbourne,Australia
1960,Medicine,Individual,Peter Brian Medawar,Rio de Janeiro,Brazil,Male,University College,London,United Kingdom
1960,Peace,Individual,Albert John Lutuli,Bulawayo,Southern Rhodesia (Zimbabwe),Male,,,
1960,Physics,Individual,Donald Arthur Glaser,"Cleveland, OH",United States of America,Male,University of California,"Berkeley, CA",United States of America
1961,Chemistry,Individual,Melvin Calvin,"St. Paul, MN",United States of America,Male,University of California,"Berkeley, CA",United States of America
1961,Literature,Individual,Ivo Andric,Dolac,Bosnia (Bosnia and Herzegovina),Male,,,
1961,Medicine,Individual,Georg von Békésy,Budapest,Hungary,Male,Harvard University,"Cambridge, MA",United States of America
1961,Peace,Individual,Dag Hjalmar Agne Carl Hammarskjöld,Jönköping,Sweden,Male,,,
1961,Physics,Individual,Robert Hofstadter,"New York, NY",United States of America,Male,Stanford University,"Stanford, CA",United States of America
1961,Physics,Individual,Rudolf Ludwig Mössbauer,Munich,Germany,Male,Technical University,Munich,Federal Republic of Germany
1961,Physics,Individual,Rudolf Ludwig Mössbauer,Munich,Germany,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America
1962,Chemistry,Individual,Max Ferdinand Perutz,Vienna,Austria,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom
1962,Chemistry,Individual,John Cowdery Kendrew,Oxford,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom
1962,Literature,Individual,John Steinbeck,"Salinas, CA",United States of America,Male,,,
1962,Medicine,Individual,Francis Harry Compton Crick,Northampton,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom
1962,Medicine,Individual,James Dewey Watson,"Chicago, IL",United States of America,Male,Harvard University,"Cambridge, MA",United States of America
1962,Medicine,Individual,Maurice Hugh Frederick Wilkins,Pongaroa,New Zealand,Male,London University,London,United Kingdom
1962,Peace,Individual,Linus Carl Pauling,"Portland, OR",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America
1962,Physics,Individual,Lev Davidovich Landau,Baku,Russian Empire (Azerbaijan),Male,Academy of Sciences,Moscow,Union of Soviet Socialist Republics
1963,Chemistry,Individual,Karl Ziegler,Helsa,Germany,Male,Max-Planck-Institut für Kohlenforschung (Max-Planck-Institute for Carbon Research),Mülheim/Ruhr,Federal Republic of Germany
1963,Chemistry,Individual,Giulio Natta,Imperia,Italy,Male,Institute of Technology,Milan,Italy
1963,Literature,Individual,Giorgos Seferis,Smyrna (Izmir),Ottoman Empire (Turkey),Male,,,
1963,Medicine,Individual,Sir John Carew Eccles,Melbourne,Australia,Male,Australian National University,Canberra,Australia
1963,Medicine,Individual,Alan Lloyd Hodgkin,Banbury,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom
1963,Medicine,Individual,Andrew Fielding Huxley,Hampstead,United Kingdom,Male,University College,London,United Kingdom
1963,Peace,Organization,Comité international de la Croix Rouge (International Committee of the Red Cross),,,,,,
1963,Peace,Organization,Ligue des Sociétés de la Croix-Rouge (League of Red Cross Societies),,,,,,
1963,Physics,Individual,Eugene Paul Wigner,Budapest,Austria-Hungary (Hungary),Male,Princeton University,"Princeton, NJ",United States of America
1963,Physics,Individual,Maria Goeppert Mayer,Kattowitz (Katowice),Germany (Poland),Female,University of California,"San Diego, CA",United States of America
1963,Physics,Individual,J. Hans D. Jensen,Hamburg,Germany,Male,University of Heidelberg,Heidelberg,Federal Republic of Germany
1964,Chemistry,Individual,Dorothy Crowfoot Hodgkin,Cairo,Egypt,Female,"University of Oxford, Royal Society",Oxford,United Kingdom
1964,Literature,Individual,Jean-Paul Sartre,Paris,France,Male,,,
1964,Medicine,Individual,Konrad Bloch,Neisse (Nysa),Germany (Poland),Male,Harvard University,"Cambridge, MA",United States of America
1964,Medicine,Individual,Feodor Lynen,Munich,Germany,Male,Max-Planck-Institut für Zellchemie,Munich,Federal Republic of Germany
1964,Peace,Individual,Martin Luther King Jr.,"Atlanta, GA",United States of America,Male,,,
1964,Physics,Individual,Charles Hard Townes,"Greenville, SC",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America
1964,Physics,Individual,Nicolay Gennadiyevich Basov,Usman,Union of Soviet Socialist Republics (Russia),Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics
1964,Physics,Individual,Aleksandr Mikhailovich Prokhorov,Atherton,Australia,Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics
1965,Chemistry,Individual,Robert Burns Woodward,"Boston, MA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America
1965,Literature,Individual,Mikhail Aleksandrovich Sholokhov,Veshenskaya,Russia,Male,,,
1965,Medicine,Individual,François Jacob,Nancy,France,Male,Institut Pasteur,Paris,France
1965,Medicine,Individual,André Lwoff,Ainay-le-Château,France,Male,Institut Pasteur,Paris,France
1965,Medicine,Individual,Jacques Monod,Paris,France,Male,Institut Pasteur,Paris,France
1965,Peace,Organization,United Nations Children's Fund (UNICEF),,,,,,
1965,Physics,Individual,Sin-Itiro Tomonaga,Kyoto,Japan,Male,Tokyo University of Education,Tokyo,Japan
1965,Physics,Individual,Julian Schwinger,"New York, NY",United States of America,Male,Harvard University,"Cambridge, MA",United States of America
1965,Physics,Individual,Richard P. Feynman,"New York, NY",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America
1966,Chemistry,Individual,Robert S. Mulliken,"Newburyport, MA",United States of America,Male,University of Chicago,"Chicago, IL",United States of America
1966,Literature,Individual,Shmuel Yosef Agnon,Buczacz (Buchach),Austria-Hungary (Ukraine),Male,,,
1966,Literature,Individual,Nelly Sachs,Berlin,Germany,Female,,,
1966,Medicine,Individual,Peyton Rous,"Baltimore, MD",United States of America,Male,Rockefeller University,"New York, NY",United States of America
1966,Medicine,Individual,Charles Brenton Huggins,Halifax,Canada,Male,"University of Chicago, Ben May Laboratory for Cancer Research","Chicago, IL",United States of America
1966,Physics,Individual,Alfred Kastler,Guebwiller,Germany (France),Male,École Normale Supérieure,Paris,France
1967,Chemistry,Individual,Manfred Eigen,Bochum,Germany,Male,Max-Planck-Institut für Physikalische Chemie,Göttingen,Federal Republic of Germany
1967,Chemistry,Individual,Ronald George Wreyford Norrish,Cambridge,United Kingdom,Male,Institute of Physical Chemistry,Cambridge,United Kingdom
1967,Chemistry,Individual,George Porter,Stainforth,United Kingdom,Male,Royal Institution of Great Britain,London,United Kingdom
1967,Literature,Individual,Miguel Angel Asturias,Guatemala City,Guatemala,Male,,,
1967,Medicine,Individual,Ragnar Granit,Helsinki,Russian Empire (Finland),Male,Karolinska Institutet,Stockholm,Sweden
1967,Medicine,Individual,Haldan Keffer Hartline,"Bloomsburg, PA",United States of America,Male,Rockefeller University,"New York, NY",United States of America
1967,Medicine,Individual,George Wald,"New York, NY",United States of America,Male,Harvard University,"Cambridge, MA",United States of America
1967,Physics,Individual,Hans Albrecht Bethe,Strassburg (Strasbourg),Germany (France),Male,Cornell University,"Ithaca, NY",United States of America
1968,Chemistry,Individual,Lars Onsager,Kristiania (Oslo),Norway,Male,Yale University,"New Haven, CT",United States of America
1968,Literature,Individual,Yasunari Kawabata,Osaka,Japan,Male,,,
1968,Medicine,Individual,Robert W. Holley,"Urbana, IL",United States of America,Male,Cornell University,"Ithaca, NY",United States of America
1968,Medicine,Individual,Har Gobind Khorana,Raipur,India,Male,University of Wisconsin,"Madison, WI",United States of America
1968,Medicine,Individual,Marshall W. Nirenberg,"New York, NY",United States of America,Male,National Institutes of Health,"Bethesda, MD",United States of America
1968,Peace,Individual,René Cassin,Bayonne,France,Male,,,
1968,Physics,Individual,Luis Walter Alvarez,"San Francisco, CA",United States of America,Male,University of California,"Berkeley, CA",United States of America
1969,Chemistry,Individual,Derek H. R. Barton,Gravesend,United Kingdom,Male,Imperial College,London,United Kingdom
1969,Chemistry,Individual,Odd Hassel,Kristiania (Oslo),Norway,Male,University of Oslo,Oslo,Norway
1969,Economics,Individual,Ragnar Frisch,Oslo,Norway,Male,University of Oslo,Oslo,Norway
1969,Economics,Individual,Jan Tinbergen,the Hague,Netherlands,Male,The Netherlands School of Economics,Rotterdam,Netherlands
1969,Literature,Individual,Samuel Beckett,Dublin,Ireland,Male,,,
1969,Medicine,Individual,Max Delbrück,Berlin,Germany,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America
1969,Medicine,Individual,Alfred D. Hershey,"Owosso, MI",United States of America,Male,Carnegie Institution of Washington,"Long Island, New York, NY",United States of America
1969,Medicine,Individual,Salvador E. Luria,Torino,Italy,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America
1969,Peace,Organization,International Labour Organization (I.L.O.),,,,,,
1969,Physics,Individual,Murray Gell-Mann,"New York, NY",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America
1970,Chemistry,Individual,Luis F. Leloir,Paris,France,Male,Institute for Biochemical Research,Buenos Aires,Argentina
1970,Economics,Individual,Paul A. Samuelson,"Gary, IN",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America
1970,Literature,Individual,Aleksandr Isayevich Solzhenitsyn,Kislovodsk,Russia,Male,,,
1970,Medicine,Individual,Sir Bernard Katz,Leipzig,Germany,Male,University College,London,United Kingdom
1970,Medicine,Individual,Ulf von Euler,Stockholm,Sweden,Male,Karolinska Institutet,Stockholm,Sweden
1970,Medicine,Individual,Julius Axelrod,"New York, NY",United States of America,Male,National Institutes of Health,"Bethesda, MD",United States of America
1970,Peace,Individual,Norman E. Borlaug,"Cresco, IA",United States of America,Male,,,
1970,Physics,Individual,Hannes Olof Gösta Alfvén,Norrköping,Sweden,Male,Royal Institute of Technology,Stockholm,Sweden
1970,Physics,Individual,Louis Eugène Félix Néel,Lyon,France,Male,University of Grenoble,Grenoble,France
1971,Chemistry,Individual,Gerhard Herzberg,Hamburg,Germany,Male,National Research Council of Canada,Ottawa,Canada
1971,Economics,Individual,Simon Kuznets,Pinsk,Russian Empire (Belarus),Male,Harvard University,"Cambridge, MA",United States of America
1971,Literature,Individual,Pablo Neruda,Parral,Chile,Male,,,
1971,Medicine,Individual,"Earl W. Sutherland, Jr.","Burlingame, KS",United States of America,Male,Vanderbilt University,"Nashville, TN",United States of America
1971,Peace,Individual,Willy Brandt,Lübeck,Germany,Male,,,
1971,Physics,Individual,Dennis Gabor,Budapest,Hungary,Male,Imperial College,London,United Kingdom
1972,Chemistry,Individual,Christian B. Anfinsen,"Monessen, PA",United States of America,Male,National Institutes of Health,"Bethesda, MD",United States of America
1972,Chemistry,Individual,Stanford Moore,"Chicago, IL",United States of America,Male,Rockefeller University,"New York, NY",United States of America
1972,Chemistry,Individual,William H. Stein,"New York, NY",United States of America,Male,Rockefeller University,"New York, NY",United States of America
1972,Economics,Individual,John R. Hicks,Warwick,United Kingdom,Male,All Souls College,Oxford,United Kingdom
1972,Economics,Individual,Kenneth J. Arrow,"New York, NY",United States of America,Male,Harvard University,"Cambridge, MA",United States of America
1972,Literature,Individual,Heinrich Böll,Cologne,Germany,Male,,,
1972,Medicine,Individual,Gerald M. Edelman,"New York, NY",United States of America,Male,Rockefeller University,"New York, NY",United States of America
1972,Medicine,Individual,Rodney R. Porter,Newton-le-Willows,United Kingdom,Male,University of Oxford,Oxford,United Kingdom
1972,Physics,Individual,John Bardeen,"Madison, WI",United States of America,Male,University of Illinois,"Urbana, IL",United States of America
1972,Physics,Individual,Leon Neil Cooper,"New York, NY",United States of America,Male,Brown University,"Providence, RI",United States of America
1972,Physics,Individual,John Robert Schrieffer,"Oak Park, IL",United States of America,Male,University of Pennsylvania,"Philadelphia, PA",United States of America
1973,Chemistry,Individual,Ernst Otto Fischer,Munich,Germany,Male,Technical University,Munich,Federal Republic of Germany
1973,Chemistry,Individual,Geoffrey Wilkinson,Todmorden,United Kingdom,Male,Imperial College,London,United Kingdom
1973,Economics,Individual,Wassily Leontief,St. Petersburg,Russia,Male,Harvard University,"Cambridge, MA",United States of America
1973,Literature,Individual,Patrick White,London,United Kingdom,Male,,,
1973,Medicine,Individual,Karl von Frisch,Vienna,Austria,Male,Zoologisches Institut der Universität München,Munich,Federal Republic of Germany
1973,Medicine,Individual,Konrad Lorenz,Vienna,Austria,Male,"Konrad-Lorenz-Institut der Österreichischen Akademie der Wissen­schaften, Forschungsstelle für Ethologie",Altenberg; Grünau im Almtal,Austria
1973,Medicine,Individual,Nikolaas Tinbergen,the Hague,Netherlands,Male,University of Oxford,Oxford,United Kingdom
1973,Peace,Individual,Henry A. Kissinger,Fürth,Germany,Male,,,
1973,Peace,Organization,Le Duc Tho,Nam Ha province,Vietnam,Male,,,
1973,Physics,Individual,Leo Esaki,Osaka,Japan,Male,IBM Thomas J. Watson Research Center,"Yorktown Heights, NY",United States of America
1973,Physics,Individual,Ivar Giaever,Bergen,Norway,Male,General Electric Company,"Schenectady, NY",United States of America
1973,Physics,Individual,Brian David Josephson,Cardiff,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom
1974,Chemistry,Individual,Paul J. Flory,"Sterling, IL",United States of America,Male,Stanford University,"Stanford, CA",United States of America
1974,Economics,Individual,Gunnar Myrdal,Skattungbyn,Sweden,Male,,,
1974,Economics,Individual,Friedrich August von Hayek,Vienna,Austria,Male,,,
1974,Literature,Individual,Eyvind Johnson,Svartbjörnsbyn,Sweden,Male,,,
1974,Literature,Individual,Harry Martinson,Jämshög,Sweden,Male,,,
1974,Medicine,Individual,Albert Claude,Longlier,Belgium,Male,Université Catholique de Louvain,Louvain,Belgium
1974,Medicine,Individual,Christian de Duve,Thames Ditton,United Kingdom,Male,Rockefeller University,"New York, NY",United States of America
1974,Medicine,Individual,Christian de Duve,Thames Ditton,United Kingdom,Male,Université Catholique de Louvain,Louvain,Belgium
1974,Medicine,Individual,George E. Palade,Iasi,Romania,Male,"Yale University, School of Medicine","New Haven, CT",United States of America
1974,Peace,Individual,Seán MacBride,Paris,France,Male,,,
1974,Peace,Individual,Eisaku Sato,Tabuse,Japan,Male,,,
1974,Physics,Individual,Sir Martin Ryle,Brighton,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom
1974,Physics,Individual,Antony Hewish,Fowey,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom
1975,Chemistry,Individual,John Warcup Cornforth,Sydney,Australia,Male,University of Sussex,Brighton,United Kingdom
1975,Chemistry,Individual,Vladimir Prelog,Sarajevo,Austria-Hungary (Bosnia and Herzegovina),Male,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland
1975,Economics,Individual,Leonid Vitaliyevich Kantorovich,St. Petersburg,Russian Empire (Russia),Male,Academy of Sciences,Moscow,Union of Soviet Socialist Republics
1975,Economics,Individual,Tjalling C. Koopmans,'s Graveland,Netherlands,Male,Yale University,"New Haven, CT",United States of America
1975,Literature,Individual,Eugenio Montale,Genoa,Italy,Male,,,
1975,Medicine,Individual,David Baltimore,"New York, NY",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America
1975,Medicine,Individual,Renato Dulbecco,Catanzaro,Italy,Male,Imperial Cancer Research Fund Laboratory,London,United Kingdom
1975,Medicine,Individual,Howard Martin Temin,"Philadelphia, PA",United States of America,Male,University of Wisconsin,"Madison, WI",United States of America
1975,Peace,Individual,Andrei Dmitrievich Sakharov,Moscow,Russia,Male,,,
1975,Physics,Individual,Aage Niels Bohr,Copenhagen,Denmark,Male,Niels Bohr Institute,Copenhagen,Denmark
1975,Physics,Individual,Ben Roy Mottelson,"Chicago, IL",United States of America,Male,Nordita,Copenhagen,Denmark
1975,Physics,Individual,Leo James Rainwater,"Council, ID",United States of America,Male,Columbia University,"New York, NY",United States of America
1976,Chemistry,Individual,William N. Lipscomb,"Cleveland, OH",United States of America,Male,Harvard University,"Cambridge, MA",United States of America
1976,Economics,Individual,Milton Friedman,"Brooklyn, NY",United States of America,Male,University of Chicago,"Chicago, IL",United States of America
1976,Literature,Individual,Saul Bellow,Montreal,Canada,Male,,,
1976,Medicine,Individual,Baruch S. Blumberg,"New York, NY",United States of America,Male,The Institute for Cancer Research,"Philadelphia, PA",United States of America
1976,Medicine,Individual,D. Carleton Gajdusek,"Yonkers, NY",United States of America,Male,National Institutes of Health,"Bethesda, MD",United States of America
1976,Peace,Individual,Betty Williams,Belfast,Northern Ireland,Female,,,
1976,Peace,Individual,Mairead Corrigan,Belfast,Northern Ireland,Female,,,
1976,Physics,Individual,Burton Richter,"Brooklyn, NY",United States of America,Male,Stanford Linear Accelerator Center,"Stanford, CA",United States of America
1976,Physics,Individual,Samuel Chao Chung Ting,"Ann Arbor, MI",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America
1977,Chemistry,Individual,Ilya Prigogine,Moscow,Russia,Male,Université Libre de Bruxelles,Brussels,Belgium
1977,Chemistry,Individual,Ilya Prigogine,Moscow,Russia,Male,University of Texas,"Austin, TX",United States of America
1977,Economics,Individual,Bertil Ohlin,Klippan,Sweden,Male,Stockholm School of Economics,Stockholm,Sweden
