Series Name,Series Code,Country Name,Country Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Cause of death, by non-communicable diseases, ages 15-34, male (% of relevant age group)",SH.DTH.NCOM.1534.MA.ZS,Qatar,QAT,..,..,18,..,..,..,..,14.2,..,..,..,..,19.9,..,..,..,..,20.8,21.1,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Afghanistan,AFG,..,..,61.8,..,..,..,..,69.9,..,..,..,..,71.3,..,..,..,..,73.4,71.7,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Australia,AUS,..,..,89,..,..,..,..,88.4,..,..,..,..,87.7,..,..,..,..,87.3,87.7,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Argentina,ARG,..,..,84.4,..,..,..,..,83.7,..,..,..,..,83,..,..,..,..,82.1,81.4,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Austria,AUT,..,..,86.4,..,..,..,..,87.5,..,..,..,..,88.9,..,..,..,..,89,87.8,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Bahrain,BHR,..,..,82.9,..,..,..,..,86.6,..,..,..,..,88,..,..,..,..,89.5,90,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Azerbaijan,AZE,..,..,87.2,..,..,..,..,89.2,..,..,..,..,90.4,..,..,..,..,90.9,90.7,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Bangladesh,BGD,..,..,67.4,..,..,..,..,71.6,..,..,..,..,76.2,..,..,..,..,81.6,82.3,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Brazil,BRA,..,..,83.8,..,..,..,..,83.1,..,..,..,..,82.5,..,..,..,..,82.2,81.9,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Canada,CAN,..,..,88.1,..,..,..,..,87.2,..,..,..,..,87.2,..,..,..,..,87.3,87.2,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,China,CHN,..,..,79.6,..,..,..,..,79.7,..,..,..,..,80,..,..,..,..,81.9,82,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Colombia,COL,..,..,80.8,..,..,..,..,81.7,..,..,..,..,82.8,..,..,..,..,84.3,84,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Denmark,DNK,..,..,90,..,..,..,..,90.2,..,..,..,..,90.7,..,..,..,..,91,90.8,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Czech Republic,CZE,..,..,89.1,..,..,..,..,89.3,..,..,..,..,87.9,..,..,..,..,88.6,88.1,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,East Asia & Pacific,EAS,..,..,77.0077446485791,..,..,..,..,77.9759340747181,..,..,..,..,78.9832230379316,..,..,..,..,80.8326157024311,80.9748890114571,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,"Egypt, Arab Rep.",EGY,..,..,88.9,..,..,..,..,90.5,..,..,..,..,91.4,..,..,..,..,91.6,91.8,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,France,FRA,..,..,83.2,..,..,..,..,84.5,..,..,..,..,85.2,..,..,..,..,87.4,87.7,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Germany,DEU,..,..,89.6,..,..,..,..,90,..,..,..,..,90.6,..,..,..,..,89.7,90.1,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Hungary,HUN,..,..,90.3,..,..,..,..,90.8,..,..,..,..,91,..,..,..,..,92.1,91.5,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Iceland,ISL,..,..,87,..,..,..,..,84.7,..,..,..,..,87.5,..,..,..,..,89.9,91.2,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Iraq,IRQ,..,..,79.5,..,..,..,..,59.4,..,..,..,..,76.5,..,..,..,..,65,66.1,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,"Iran, Islamic Rep.",IRN,..,..,83.1,..,..,..,..,82.5,..,..,..,..,83.9,..,..,..,..,83.1,83.2,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Ireland,IRL,..,..,90.1,..,..,..,..,88.9,..,..,..,..,87.3,..,..,..,..,90.4,90.4,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Israel,ISR,..,..,90.9,..,..,..,..,87.7,..,..,..,..,89.1,..,..,..,..,90.2,89.8,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Italy,ITA,..,..,90.7,..,..,..,..,91.2,..,..,..,..,91.5,..,..,..,..,91.1,91.1,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Japan,JPN,..,..,83.4,..,..,..,..,83.5,..,..,..,..,82.1,..,..,..,..,82.9,83.8,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Kenya,KEN,..,..,15.1,..,..,..,..,13.2,..,..,..,..,19.1,..,..,..,..,29.1,31.2,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Kuwait,KWT,..,..,80.6,..,..,..,..,84.6,..,..,..,..,81.5,..,..,..,..,79.2,79.5,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Latvia,LVA,..,..,79.3,..,..,..,..,80.3,..,..,..,..,85.3,..,..,..,..,85.7,84,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Libya,LBY,..,..,84.5,..,..,..,..,85.7,..,..,..,..,84.6,..,..,..,..,75.1,76.6,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Malaysia,MYS,..,..,78,..,..,..,..,80,..,..,..,..,79.9,..,..,..,..,79.9,80,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Maldives,MDV,..,..,88.4,..,..,..,..,88.2,..,..,..,..,87.7,..,..,..,..,88.8,87.3,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Malta,MLT,..,..,91.9,..,..,..,..,92.9,..,..,..,..,95.6,..,..,..,..,92.9,93.4,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Mexico,MEX,..,..,85.6,..,..,..,..,86.6,..,..,..,..,85.7,..,..,..,..,87.7,87.5,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Middle East & North Africa,MEA,..,..,82.9497141143005,..,..,..,..,82.1406587351761,..,..,..,..,84.6245127951991,..,..,..,..,80.0473584766107,80.8751702754701,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Netherlands,NLD,..,..,90.7,..,..,..,..,90.4,..,..,..,..,90.5,..,..,..,..,89.8,89.6,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,New Zealand,NZL,..,..,91,..,..,..,..,89.6,..,..,..,..,89.3,..,..,..,..,89.9,89.8,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Nepal,NPL,..,..,64.4,..,..,..,..,67.1,..,..,..,..,69.5,..,..,..,..,69.5,73.4,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,North America,NAC,..,..,85.7882743572601,..,..,..,..,85.2538668010597,..,..,..,..,86.2719512167037,..,..,..,..,86.3668607117947,86.2648772245942,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Norway,NOR,..,..,90.1,..,..,..,..,88.7,..,..,..,..,87.5,..,..,..,..,88.6,87.8,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Oman,OMN,..,..,78.1,..,..,..,..,78.9,..,..,..,..,81.2,..,..,..,..,81.7,81.3,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Pakistan,PAK,..,..,74.5,..,..,..,..,70.7,..,..,..,..,76.7,..,..,..,..,78.7,79.8,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Poland,POL,..,..,89.3,..,..,..,..,90.5,..,..,..,..,90.4,..,..,..,..,91.1,90.7,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Portugal,PRT,..,..,87,..,..,..,..,86.4,..,..,..,..,85.8,..,..,..,..,86.5,86.3,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Philippines,PHL,..,..,75.4,..,..,..,..,78.7,..,..,..,..,81,..,..,..,..,81.9,82,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Romania,ROU,..,..,88.3,..,..,..,..,89,..,..,..,..,89.3,..,..,..,..,89.5,88.7,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Russian Federation,RUS,..,..,78.1,..,..,..,..,79.5,..,..,..,..,80.9,..,..,..,..,80.1,79.1,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Saudi Arabia,SAU,..,..,74.9,..,..,..,..,75.2,..,..,..,..,76,..,..,..,..,75,75.3,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Singapore,SGP,..,..,84.1,..,..,..,..,82.8,..,..,..,..,84.7,..,..,..,..,87.6,86.8,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Serbia,SRB,..,..,92.1,..,..,..,..,92.6,..,..,..,..,93.2,..,..,..,..,92.1,92.4,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Somalia,SOM,..,..,40.7,..,..,..,..,43.3,..,..,..,..,41,..,..,..,..,44.8,44.4,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,South Asia,SAS,..,..,65.1423785165354,..,..,..,..,65.2404457992881,..,..,..,..,69.0193961385072,..,..,..,..,72.6478093649437,73.076132625231,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,South Africa,ZAF,..,..,41.6,..,..,..,..,25.7,..,..,..,..,28.8,..,..,..,..,42.1,41.9,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Spain,ESP,..,..,87.3,..,..,..,..,88,..,..,..,..,89.8,..,..,..,..,90.2,89.7,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Sri Lanka,LKA,..,..,76.8,..,..,..,..,81.4,..,..,..,..,83,..,..,..,..,83.8,83.7,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Switzerland,CHE,..,..,84.3,..,..,..,..,84.5,..,..,..,..,87,..,..,..,..,86.7,85.7,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Sweden,SWE,..,..,87.1,..,..,..,..,86.1,..,..,..,..,87.8,..,..,..,..,86.3,86.8,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Tajikistan,TJK,..,..,74.5,..,..,..,..,79,..,..,..,..,79.4,..,..,..,..,82,82.6,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Thailand,THA,..,..,71,..,..,..,..,70,..,..,..,..,72.2,..,..,..,..,72.8,72.7,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Tanzania,TZA,..,..,23.9,..,..,..,..,20.2,..,..,..,..,26.4,..,..,..,..,41.7,42.9,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Turkey,TUR,..,..,90.7,..,..,..,..,91.1,..,..,..,..,91.5,..,..,..,..,91.5,91.9,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Uganda,UGA,..,..,21.7,..,..,..,..,25.8,..,..,..,..,30.3,..,..,..,..,46.4,47.3,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,United Kingdom,GBR,..,..,89.1,..,..,..,..,90.3,..,..,..,..,90,..,..,..,..,89.5,89.9,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,United Arab Emirates,ARE,..,..,87.4,..,..,..,..,83.7,..,..,..,..,88.9,..,..,..,..,90.4,90.7,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,United States,USA,..,..,85.6,..,..,..,..,85.1,..,..,..,..,86.2,..,..,..,..,86.3,86.2,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Vietnam,VNM,..,..,77.9,..,..,..,..,79.1,..,..,..,..,80.9,..,..,..,..,81.8,82.1,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Uzbekistan,UZB,..,..,83.6,..,..,..,..,86.6,..,..,..,..,89,..,..,..,..,89.6,89.6,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Zimbabwe,ZWE,..,..,11.9,..,..,..,..,12,..,..,..,..,18.7,..,..,..,..,30.3,31.3,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,"Yemen, Rep.",YEM,..,..,74.9,..,..,..,..,76.2,..,..,..,..,77.9,..,..,..,..,74.4,77.8,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,"Korea, Rep.",KOR,..,..,79.3,..,..,..,..,77.2,..,..,..,..,73.9,..,..,..,..,77.3,78.3,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Brunei Darussalam,BRN,..,..,85.7,..,..,..,..,86.4,..,..,..,..,88.6,..,..,..,..,87.9,88,..,..
"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.NCOM.3559.FE.ZS,Qatar,QAT,..,..,86.4,..,..,..,..,85.6,..,..,..,..,88.4,..,..,..,..,88.1,88.7,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Afghanistan,AFG,..,..,60,..,..,..,..,68.6,..,..,..,..,66.2,..,..,..,..,64.3,60.1,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Australia,AUS,..,..,79.1,..,..,..,..,79.7,..,..,..,..,78.8,..,..,..,..,79.5,79.6,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Argentina,ARG,..,..,76.4,..,..,..,..,76.2,..,..,..,..,74.9,..,..,..,..,73.5,72.7,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Austria,AUT,..,..,79.9,..,..,..,..,79.4,..,..,..,..,81.5,..,..,..,..,81.2,81.7,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Bahrain,BHR,..,..,65.5,..,..,..,..,72.5,..,..,..,..,77.4,..,..,..,..,78.3,78.2,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Azerbaijan,AZE,..,..,77.2,..,..,..,..,81.1,..,..,..,..,83.4,..,..,..,..,85,84.6,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Bangladesh,BGD,..,..,57.2,..,..,..,..,61.2,..,..,..,..,64.4,..,..,..,..,69,70.2,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Brazil,BRA,..,..,68,..,..,..,..,67.7,..,..,..,..,66.9,..,..,..,..,66.3,65.9,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Canada,CAN,..,..,78.1,..,..,..,..,77.6,..,..,..,..,79.2,..,..,..,..,79.9,79.8,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,China,CHN,..,..,77.9,..,..,..,..,76.5,..,..,..,..,77.5,..,..,..,..,80.1,80.4,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Colombia,COL,..,..,43.4,..,..,..,..,49.5,..,..,..,..,52.7,..,..,..,..,58.3,59.5,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Denmark,DNK,..,..,84.7,..,..,..,..,85,..,..,..,..,85.1,..,..,..,..,86.2,85.1,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Czech Republic,CZE,..,..,81.9,..,..,..,..,81.4,..,..,..,..,79.1,..,..,..,..,80.1,79.4,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,East Asia & Pacific,EAS,..,..,71.99898637337,..,..,..,..,71.8191338507607,..,..,..,..,73.5639318880889,..,..,..,..,75.8739696685757,76.2211573625769,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,"Egypt, Arab Rep.",EGY,..,..,82.5,..,..,..,..,84.4,..,..,..,..,84.9,..,..,..,..,85.1,85.5,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,France,FRA,..,..,78.8,..,..,..,..,80.6,..,..,..,..,80.5,..,..,..,..,81.3,81.6,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Germany,DEU,..,..,84.7,..,..,..,..,84.8,..,..,..,..,85.8,..,..,..,..,86.5,86.4,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Hungary,HUN,..,..,84,..,..,..,..,84.9,..,..,..,..,85,..,..,..,..,85.5,86.1,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Iceland,ISL,..,..,74.7,..,..,..,..,76.8,..,..,..,..,78.1,..,..,..,..,79.3,76.7,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Iraq,IRQ,..,..,69,..,..,..,..,42.5,..,..,..,..,64.3,..,..,..,..,48.5,49.7,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,"Iran, Islamic Rep.",IRN,..,..,71.3,..,..,..,..,69.6,..,..,..,..,69.1,..,..,..,..,66.3,67,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Ireland,IRL,..,..,82.3,..,..,..,..,79.5,..,..,..,..,78.8,..,..,..,..,79.4,79.2,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Israel,ISR,..,..,79.5,..,..,..,..,80.6,..,..,..,..,81.8,..,..,..,..,82.2,82,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Italy,ITA,..,..,83.5,..,..,..,..,83.4,..,..,..,..,83.6,..,..,..,..,83.8,83.8,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Japan,JPN,..,..,73.4,..,..,..,..,73.2,..,..,..,..,73.2,..,..,..,..,75.4,76.7,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Kenya,KEN,..,..,15,..,..,..,..,13.7,..,..,..,..,19.4,..,..,..,..,20.9,23.1,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Kuwait,KWT,..,..,71.8,..,..,..,..,72.4,..,..,..,..,76.7,..,..,..,..,73,72.7,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Latvia,LVA,..,..,64.6,..,..,..,..,67.8,..,..,..,..,73.7,..,..,..,..,74.4,75.1,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Libya,LBY,..,..,71.8,..,..,..,..,72.4,..,..,..,..,70.2,..,..,..,..,52.7,57.7,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Malaysia,MYS,..,..,50.4,..,..,..,..,52,..,..,..,..,54.4,..,..,..,..,58,59.7,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Maldives,MDV,..,..,86.5,..,..,..,..,83.5,..,..,..,..,84.7,..,..,..,..,85,82.1,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Malta,MLT,..,..,85.4,..,..,..,..,85.5,..,..,..,..,83.2,..,..,..,..,84.5,83,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Mexico,MEX,..,..,69.4,..,..,..,..,71.3,..,..,..,..,66.5,..,..,..,..,71.4,71.5,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Middle East & North Africa,MEA,..,..,74.9506984312813,..,..,..,..,73.0974805194193,..,..,..,..,75.6445783100727,..,..,..,..,68.9130021930787,70.1112365563045,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Netherlands,NLD,..,..,86.3,..,..,..,..,84.5,..,..,..,..,84.5,..,..,..,..,84.2,83.8,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,New Zealand,NZL,..,..,80.6,..,..,..,..,79.1,..,..,..,..,79.3,..,..,..,..,79.7,79.7,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Nepal,NPL,..,..,66.5,..,..,..,..,64.6,..,..,..,..,66.6,..,..,..,..,63.9,68.7,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,North America,NAC,..,..,77.8220445563807,..,..,..,..,77.9715447281113,..,..,..,..,79.8504825508069,..,..,..,..,80.0870874285006,79.8937262820249,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Norway,NOR,..,..,83,..,..,..,..,82.3,..,..,..,..,82.6,..,..,..,..,82.5,81.3,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Oman,OMN,..,..,66.4,..,..,..,..,66.7,..,..,..,..,68,..,..,..,..,70.2,69.6,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Pakistan,PAK,..,..,76.9,..,..,..,..,69.9,..,..,..,..,75.4,..,..,..,..,76,78.5,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Poland,POL,..,..,80.1,..,..,..,..,81,..,..,..,..,80.4,..,..,..,..,81.9,81.6,..,..
"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.NCOM.3559.MA.ZS,Portugal,PRT,..,..,76.7,..,..,..,..,76.2,..,..,..,..,77.3,..,..,..,..,79.2,79.3,..,..
