Rank,Year,Month,Day,Year_to_Date_Rank,Last_Week_Rank,Title,Type,Exclusive,Release_Date,Days_in_Top_10,Viewership_Score
8,2020,6,22,-,-,Baby Mama,Movie,No,"Dec 16, 2018",1,3
9,2020,6,22,7,5,Space Force,TV Show,Yes,"May 29, 2020",24,182
10,2020,6,22,8,-,Magnetic,Movie,No,"Jun 12, 2020",4,7
1,2020,6,23,1,-,Floor is Lava,TV Show,Yes,"Jun 19, 2020",4,40
2,2020,6,23,3,-,The Order,TV Show,Yes,"Mar 7, 2019",5,41
3,2020,6,23,2,1,365 Days,Movie,Yes,"Jul 7, 2020",16,146
4,2020,6,23,6,-,The Nut Job,Movie,No,"Aug 13, 2014",3,14
5,2020,6,23,5,-,Feel the Beat,Movie,Yes,"Jun 19, 2020",4,24
6,2020,6,23,4,-,Lost Bullet,Movie,Yes,"Jun 19, 2020",4,22
7,2020,6,23,7,2,13 Reasons Why,TV Show,Yes,"Mar 31, 2017",18,151
8,2020,6,23,8,-,Baby Mama,Movie,No,"Dec 16, 2018",2,6
9,2020,6,23,-,8,Avatar: The Last Airbender,TV Show,No,"May 15, 2020",35,190
10,2020,6,23,9,5,Space Force,TV Show,Yes,"May 29, 2020",25,183
1,2020,6,24,1,-,Floor is Lava,TV Show,Yes,"Jun 19, 2020",5,50
2,2020,6,24,2,-,The Order,TV Show,Yes,"Mar 7, 2019",6,50
3,2020,6,24,4,-,The Nut Job,Movie,No,"Aug 13, 2014",4,22
4,2020,6,24,3,1,365 Days,Movie,Yes,"Jul 7, 2020",17,153
5,2020,6,24,5,-,Feel the Beat,Movie,Yes,"Jun 19, 2020",5,30
6,2020,6,24,6,-,Lost Bullet,Movie,Yes,"Jun 19, 2020",5,27
7,2020,6,24,-,-,Love,Movie,No,"Feb 4, 2016",1,4
8,2020,6,24,7,2,13 Reasons Why,TV Show,Yes,"Mar 31, 2017",19,154
9,2020,6,24,8,-,Baby Mama,Movie,No,"Dec 16, 2018",3,8
10,2020,6,24,9,7,Avatar: The Last Airbender,TV Show,No,"May 15, 2020",36,191
1,2020,6,25,1,-,Floor is Lava,TV Show,Yes,"Jun 19, 2020",6,60
2,2020,6,25,2,-,The Order,TV Show,Yes,"Mar 7, 2019",7,59
3,2020,6,25,3,-,The Nut Job,Movie,No,"Aug 13, 2014",5,30
4,2020,6,25,4,1,365 Days,Movie,Yes,"Jul 7, 2020",18,160
5,2020,6,25,5,-,Feel the Beat,Movie,Yes,"Jun 19, 2020",6,36
6,2020,6,25,7,-,Love,Movie,No,"Feb 4, 2016",2,9
7,2020,6,25,6,-,Lost Bullet,Movie,Yes,"Jun 19, 2020",6,31
8,2020,6,25,8,2,13 Reasons Why,TV Show,Yes,"Mar 31, 2017",20,157
9,2020,6,25,9,-,Baby Mama,Movie,No,"Dec 16, 2018",4,10
10,2020,6,25,10,7,Avatar: The Last Airbender,TV Show,No,"May 15, 2020",37,192
1,2020,6,26,1,-,Floor is Lava,TV Show,Yes,"Jun 19, 2020",7,70
2,2020,6,26,2,3,The Order,TV Show,Yes,"Mar 7, 2019",8,68
3,2020,6,26,4,1,365 Days,Movie,Yes,"Jul 7, 2020",19,168
4,2020,6,26,3,-,The Nut Job,Movie,No,"Aug 13, 2014",6,37
5,2020,6,26,5,-,Feel the Beat,Movie,Yes,"Jun 19, 2020",7,42
6,2020,6,26,6,-,Love,Movie,No,"Feb 4, 2016",3,14
7,2020,6,26,8,2,13 Reasons Why,TV Show,Yes,"Mar 31, 2017",21,161
8,2020,6,26,-,-,Athlete A,Movie,Yes,"Jun 24, 2020",1,3
9,2020,6,26,7,-,Lost Bullet,Movie,Yes,"Jun 19, 2020",7,33
10,2020,6,26,10,6,Avatar: The Last Airbender,TV Show,No,"May 15, 2020",38,193
1,2020,6,27,1,1,Floor is Lava,TV Show,Yes,"Jun 19, 2020",8,80
2,2020,6,27,-,-,Eurovision Song Contest: Th…,Movie,Yes,"Jun 26, 2020",1,9
3,2020,6,27,3,2,365 Days,Movie,Yes,"Jul 7, 2020",20,176
4,2020,6,27,2,3,The Order,TV Show,Yes,"Mar 7, 2019",9,75
5,2020,6,27,4,-,The Nut Job,Movie,No,"Aug 13, 2014",7,43
6,2020,6,27,8,-,Athlete A,Movie,Yes,"Jun 24, 2020",2,8
7,2020,6,27,6,-,Love,Movie,No,"Feb 4, 2016",4,18
8,2020,6,27,5,5,Feel the Beat,Movie,Yes,"Jun 19, 2020",8,45
9,2020,6,27,-,-,Crazy Delicious,TV Show,Yes,"Jun 24, 2020",1,2
10,2020,6,27,7,4,13 Reasons Why,TV Show,Yes,"Mar 31, 2017",22,162
1,2020,6,28,2,-,Eurovision Song Contest: Th…,Movie,Yes,"Jun 26, 2020",2,19
2,2020,6,28,1,1,Floor is Lava,TV Show,Yes,"Jun 19, 2020",9,89
3,2020,6,28,6,-,Athlete A,Movie,Yes,"Jun 24, 2020",3,16
4,2020,6,28,3,2,365 Days,Movie,Yes,"Jul 7, 2020",21,183
5,2020,6,28,4,3,The Order,TV Show,Yes,"Mar 7, 2019",10,81
6,2020,6,28,5,9,The Nut Job,Movie,No,"Aug 13, 2014",8,48
7,2020,6,28,8,5,Feel the Beat,Movie,Yes,"Jun 19, 2020",9,49
8,2020,6,28,9,-,Crazy Delicious,TV Show,Yes,"Jun 24, 2020",2,5
9,2020,6,28,7,-,Love,Movie,No,"Feb 4, 2016",5,20
10,2020,6,28,-,-,Home Game,TV Show,Yes,"Jun 26, 2020",1,1
1,2020,6,29,1,-,Eurovision Song Contest: Th…,Movie,Yes,"Jun 26, 2020",3,29
2,2020,6,29,2,1,Floor is Lava,TV Show,Yes,"Jun 19, 2020",10,98
3,2020,6,29,4,2,365 Days,Movie,Yes,"Jul 7, 2020",22,191
4,2020,6,29,3,-,Athlete A,Movie,Yes,"Jun 24, 2020",4,23
5,2020,6,29,5,3,The Order,TV Show,Yes,"Mar 7, 2019",11,87
6,2020,6,29,10,-,Home Game,TV Show,Yes,"Jun 26, 2020",2,6
7,2020,6,29,8,-,Crazy Delicious,TV Show,Yes,"Jun 24, 2020",3,9
8,2020,6,29,6,6,The Nut Job,Movie,No,"Aug 13, 2014",9,51
9,2020,6,29,7,5,Feel the Beat,Movie,Yes,"Jun 19, 2020",10,51
10,2020,6,29,9,-,Love,Movie,No,"Feb 4, 2016",6,21
1,2020,6,30,2,1,Floor is Lava,TV Show,Yes,"Jun 19, 2020",11,108
2,2020,6,30,1,-,Eurovision Song Contest: Th…,Movie,Yes,"Jun 26, 2020",4,38
3,2020,6,30,3,3,365 Days,Movie,Yes,"Jul 7, 2020",23,199
4,2020,6,30,5,2,The Order,TV Show,Yes,"Mar 7, 2019",12,94
5,2020,6,30,7,-,Crazy Delicious,TV Show,Yes,"Jun 24, 2020",4,15
6,2020,6,30,4,-,Athlete A,Movie,Yes,"Jun 24, 2020",5,28
7,2020,6,30,8,4,The Nut Job,Movie,No,"Aug 13, 2014",10,55
8,2020,6,30,9,5,Feel the Beat,Movie,Yes,"Jun 19, 2020",11,54
9,2020,6,30,6,-,Home Game,TV Show,Yes,"Jun 26, 2020",3,8
10,2020,6,30,10,-,Love,Movie,No,"Feb 4, 2016",7,22
1,2020,7,1,1,1,Floor is Lava,TV Show,Yes,"Jun 19, 2020",12,118
2,2020,7,1,2,-,Eurovision Song Contest: Th…,Movie,Yes,"Jun 26, 2020",5,47
3,2020,7,1,-,-,George Lopez: Weâll Do It f…,Stand-Up Comedy,Yes,"Jun 30, 2020",1,8
4,2020,7,1,4,2,The Order,TV Show,Yes,"Mar 7, 2019",13,101
5,2020,7,1,3,4,365 Days,Movie,Yes,"Jul 7, 2020",24,205
6,2020,7,1,5,-,Crazy Delicious,TV Show,Yes,"Jun 24, 2020",5,20
7,2020,7,1,8,5,Feel the Beat,Movie,Yes,"Jun 19, 2020",12,58
8,2020,7,1,7,3,The Nut Job,Movie,No,"Aug 13, 2014",11,58
9,2020,7,1,-,-,Dark,TV Show,Yes,"Dec 1, 2017",1,2
10,2020,7,1,10,7,Love,Movie,No,"Feb 4, 2016",8,23
1,2020,7,2,-,-,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",1,10
2,2020,7,2,1,1,Floor is Lava,TV Show,Yes,"Jun 19, 2020",13,127
3,2020,7,2,-,-,Patriots Day,Movie,No,"Jul 1, 2020",1,8
4,2020,7,2,3,-,George Lopez: Weâll Do It f…,Stand-Up Comedy,Yes,"Jun 30, 2020",2,15
5,2020,7,2,2,-,Eurovision Song Contest: Th…,Movie,Yes,"Jun 26, 2020",6,53
6,2020,7,2,4,2,The Order,TV Show,Yes,"Mar 7, 2019",14,106
7,2020,7,2,5,4,365 Days,Movie,Yes,"Jul 7, 2020",25,209
8,2020,7,2,6,-,Crazy Delicious,TV Show,Yes,"Jun 24, 2020",6,23
9,2020,7,2,-,-,The Town,Movie,No,"Jul 1, 2020",1,2
10,2020,7,2,-,10,Avatar: The Last Airbender,TV Show,No,"May 15, 2020",39,194
1,2020,7,3,1,-,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",2,20
2,2020,7,3,3,-,Patriots Day,Movie,No,"Jul 1, 2020",2,17
3,2020,7,3,2,1,Floor is Lava,TV Show,Yes,"Jun 19, 2020",14,135
4,2020,7,3,-,-,Warrior Nun,TV Show,Yes,"Jul 2, 2020",1,7
5,2020,7,3,9,-,The Town,Movie,No,"Jul 1, 2020",2,8
6,2020,7,3,-,-,A Thousand Words,Movie,No,"Jul 1, 2020",1,5
7,2020,7,3,4,-,George Lopez: Weâll Do It f…,Stand-Up Comedy,Yes,"Jun 30, 2020",3,19
8,2020,7,3,5,-,Eurovision Song Contest: Th…,Movie,Yes,"Jun 26, 2020",7,56
9,2020,7,3,7,3,365 Days,Movie,Yes,"Jul 7, 2020",26,211
10,2020,7,3,6,2,The Order,TV Show,Yes,"Mar 7, 2019",15,107
1,2020,7,4,1,-,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",3,30
2,2020,7,4,4,-,Warrior Nun,TV Show,Yes,"Jul 2, 2020",2,16
3,2020,7,4,2,-,Patriots Day,Movie,No,"Jul 1, 2020",3,25
4,2020,7,4,-,-,The Baby-Sitters Club,TV Show,Yes,"Jul 3, 2020",1,7
5,2020,7,4,3,1,Floor is Lava,TV Show,Yes,"Jun 19, 2020",15,141
6,2020,7,4,5,-,The Town,Movie,No,"Jul 1, 2020",3,13
7,2020,7,4,-,-,Desperados,Movie,Yes,"Jul 3, 2020",1,4
8,2020,7,4,7,-,George Lopez: Weâll Do It f…,Stand-Up Comedy,Yes,"Jun 30, 2020",4,22
9,2020,7,4,8,2,Eurovision Song Contest: Th…,Movie,Yes,"Jun 26, 2020",8,58
10,2020,7,4,9,3,365 Days,Movie,Yes,"Jul 7, 2020",27,212
1,2020,7,5,1,-,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",4,40
2,2020,7,5,2,-,Warrior Nun,TV Show,Yes,"Jul 2, 2020",3,25
3,2020,7,5,4,-,The Baby-Sitters Club,TV Show,Yes,"Jul 3, 2020",2,15
4,2020,7,5,3,-,Patriots Day,Movie,No,"Jul 1, 2020",4,32
5,2020,7,5,7,-,Desperados,Movie,Yes,"Jul 3, 2020",2,10
6,2020,7,5,5,2,Floor is Lava,TV Show,Yes,"Jun 19, 2020",16,146
7,2020,7,5,6,-,The Town,Movie,No,"Jul 1, 2020",4,17
8,2020,7,5,-,-,A Thousand Words,Movie,No,"Jul 1, 2020",2,8
9,2020,7,5,8,-,George Lopez: Weâll Do It f…,Stand-Up Comedy,Yes,"Jun 30, 2020",5,24
10,2020,7,5,10,4,365 Days,Movie,Yes,"Jul 7, 2020",28,213
1,2020,7,6,1,-,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",5,50
2,2020,7,6,2,-,Warrior Nun,TV Show,Yes,"Jul 2, 2020",4,34
3,2020,7,6,3,-,The Baby-Sitters Club,TV Show,Yes,"Jul 3, 2020",3,23
4,2020,7,6,4,-,Patriots Day,Movie,No,"Jul 1, 2020",5,39
5,2020,7,6,5,-,Desperados,Movie,Yes,"Jul 3, 2020",3,16
6,2020,7,6,7,-,The Town,Movie,No,"Jul 1, 2020",5,22
7,2020,7,6,6,2,Floor is Lava,TV Show,Yes,"Jun 19, 2020",17,150
8,2020,7,6,8,-,A Thousand Words,Movie,No,"Jul 1, 2020",3,11
9,2020,7,6,-,-,I Now Pronounce You Chuck a…,Movie,No,"Mar 1, 2018",1,2
10,2020,7,6,-,-,Double Jeopardy,Movie,No,"Jun 1, 2016",1,1
1,2020,7,7,1,-,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",6,60
2,2020,7,7,2,-,Warrior Nun,TV Show,Yes,"Jul 2, 2020",5,43
3,2020,7,7,3,-,The Baby-Sitters Club,TV Show,Yes,"Jul 3, 2020",4,31
4,2020,7,7,5,-,Desperados,Movie,Yes,"Jul 3, 2020",4,23
5,2020,7,7,4,-,Patriots Day,Movie,No,"Jul 1, 2020",6,45
6,2020,7,7,7,1,Floor is Lava,TV Show,Yes,"Jun 19, 2020",18,155
7,2020,7,7,6,-,The Town,Movie,No,"Jul 1, 2020",6,26
8,2020,7,7,9,-,I Now Pronounce You Chuck a…,Movie,No,"Mar 1, 2018",2,5
9,2020,7,7,8,-,A Thousand Words,Movie,No,"Jul 1, 2020",4,13
10,2020,7,7,10,-,Double Jeopardy,Movie,No,"Jun 1, 2016",2,2
1,2020,7,8,1,-,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",7,70
2,2020,7,8,2,-,Warrior Nun,TV Show,Yes,"Jul 2, 2020",6,52
3,2020,7,8,3,-,The Baby-Sitters Club,TV Show,Yes,"Jul 3, 2020",5,39
4,2020,7,8,4,-,Desperados,Movie,Yes,"Jul 3, 2020",5,30
5,2020,7,8,6,1,Floor is Lava,TV Show,Yes,"Jun 19, 2020",19,161
6,2020,7,8,5,-,Patriots Day,Movie,No,"Jul 1, 2020",7,50
7,2020,7,8,8,-,I Now Pronounce You Chuck a…,Movie,No,"Mar 1, 2018",3,9
8,2020,7,8,7,-,The Town,Movie,No,"Jul 1, 2020",7,29
9,2020,7,8,-,-,Only,Movie,No,"Jul 5, 2020",1,2
10,2020,7,8,-,-,Dr. Seussâ The Lorax,Movie,No,"Jul 7, 2020",1,1
1,2020,7,9,1,1,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",8,80
2,2020,7,9,2,-,Warrior Nun,TV Show,Yes,"Jul 2, 2020",7,61
3,2020,7,9,10,-,Dr. Seussâ The Lorax,Movie,No,"Jul 7, 2020",2,9
4,2020,7,9,3,-,The Baby-Sitters Club,TV Show,Yes,"Jul 3, 2020",6,46
5,2020,7,9,9,-,Only,Movie,No,"Jul 5, 2020",2,8
6,2020,7,9,4,-,Desperados,Movie,Yes,"Jul 3, 2020",6,35
7,2020,7,9,5,2,Floor is Lava,TV Show,Yes,"Jun 19, 2020",20,165
8,2020,7,9,7,-,I Now Pronounce You Chuck a…,Movie,No,"Mar 1, 2018",4,12
9,2020,7,9,6,3,Patriots Day,Movie,No,"Jul 1, 2020",8,52
10,2020,7,9,8,9,The Town,Movie,No,"Jul 1, 2020",8,30
1,2020,7,10,1,1,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",9,90
2,2020,7,10,3,-,Dr. Seussâ The Lorax,Movie,No,"Jul 7, 2020",3,18
3,2020,7,10,2,4,Warrior Nun,TV Show,Yes,"Jul 2, 2020",8,69
4,2020,7,10,4,-,The Baby-Sitters Club,TV Show,Yes,"Jul 3, 2020",7,53
5,2020,7,10,6,-,Desperados,Movie,Yes,"Jul 3, 2020",7,41
6,2020,7,10,5,-,Only,Movie,No,"Jul 5, 2020",3,13
7,2020,7,10,7,3,Floor is Lava,TV Show,Yes,"Jun 19, 2020",21,169
8,2020,7,10,8,-,I Now Pronounce You Chuck a…,Movie,No,"Mar 1, 2018",5,15
9,2020,7,10,10,5,The Town,Movie,No,"Jul 1, 2020",9,32
10,2020,7,10,-,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",22,146
1,2020,7,11,-,-,The Old Guard,Movie,Yes,"Jul 10, 2020",1,10
2,2020,7,11,1,1,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",10,99
3,2020,7,11,2,-,Dr. Seussâ The Lorax,Movie,No,"Jul 7, 2020",4,26
4,2020,7,11,3,2,Warrior Nun,TV Show,Yes,"Jul 2, 2020",9,76
5,2020,7,11,-,-,The Epic Tales of Captain U…,TV Show,Yes,"Jul 10, 2020",1,6
6,2020,7,11,-,-,Down to Earth with Zac Efron,TV Show,Yes,"Jul 10, 2020",1,5
7,2020,7,11,4,4,The Baby-Sitters Club,TV Show,Yes,"Jul 3, 2020",8,57
8,2020,7,11,5,7,Desperados,Movie,Yes,"Jul 3, 2020",8,44
9,2020,7,11,7,5,Floor is Lava,TV Show,Yes,"Jun 19, 2020",22,171
10,2020,7,11,6,-,Only,Movie,No,"Jul 5, 2020",4,14
1,2020,7,12,1,-,The Old Guard,Movie,Yes,"Jul 10, 2020",2,20
2,2020,7,12,2,1,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",11,108
3,2020,7,12,3,-,Dr. Seussâ The Lorax,Movie,No,"Jul 7, 2020",5,34
4,2020,7,12,6,-,Down to Earth with Zac Efron,TV Show,Yes,"Jul 10, 2020",2,12
5,2020,7,12,4,2,Warrior Nun,TV Show,Yes,"Jul 2, 2020",10,82
6,2020,7,12,5,-,The Epic Tales of Captain U…,TV Show,Yes,"Jul 10, 2020",2,11
7,2020,7,12,7,3,The Baby-Sitters Club,TV Show,Yes,"Jul 3, 2020",9,61
8,2020,7,12,10,-,Only,Movie,No,"Jul 5, 2020",5,17
9,2020,7,12,8,5,Desperados,Movie,Yes,"Jul 3, 2020",9,46
10,2020,7,12,-,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",23,147
1,2020,7,13,1,-,The Old Guard,Movie,Yes,"Jul 10, 2020",3,30
2,2020,7,13,2,1,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",12,117
3,2020,7,13,4,-,Down to Earth with Zac Efron,TV Show,Yes,"Jul 10, 2020",3,20
4,2020,7,13,3,-,Dr. Seussâ The Lorax,Movie,No,"Jul 7, 2020",6,41
5,2020,7,13,5,2,Warrior Nun,TV Show,Yes,"Jul 2, 2020",11,88
6,2020,7,13,6,-,The Epic Tales of Captain U…,TV Show,Yes,"Jul 10, 2020",3,16
7,2020,7,13,8,-,Only,Movie,No,"Jul 5, 2020",6,21
8,2020,7,13,10,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",24,150
9,2020,7,13,7,3,The Baby-Sitters Club,TV Show,Yes,"Jul 3, 2020",10,63
10,2020,7,13,9,5,Desperados,Movie,Yes,"Jul 3, 2020",10,47
1,2020,7,14,1,-,The Old Guard,Movie,Yes,"Jul 10, 2020",4,40
2,2020,7,14,3,-,Down to Earth with Zac Efron,TV Show,Yes,"Jul 10, 2020",4,29
3,2020,7,14,4,-,Dr. Seussâ The Lorax,Movie,No,"Jul 7, 2020",7,49
4,2020,7,14,2,1,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",13,124
5,2020,7,14,5,2,Warrior Nun,TV Show,Yes,"Jul 2, 2020",12,94
6,2020,7,14,6,-,The Epic Tales of Captain U…,TV Show,Yes,"Jul 10, 2020",4,21
7,2020,7,14,9,3,The Baby-Sitters Club,TV Show,Yes,"Jul 3, 2020",11,67
8,2020,7,14,8,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",25,153
9,2020,7,14,7,-,Only,Movie,No,"Jul 5, 2020",7,23
10,2020,7,14,10,4,Desperados,Movie,Yes,"Jul 3, 2020",11,48
1,2020,7,15,1,-,The Old Guard,Movie,Yes,"Jul 10, 2020",5,50
2,2020,7,15,2,-,Down to Earth with Zac Efron,TV Show,Yes,"Jul 10, 2020",5,38
3,2020,7,15,3,10,Dr. Seussâ The Lorax,Movie,No,"Jul 7, 2020",8,57
4,2020,7,15,-,-,The Business of Drugs,TV Show,Yes,"Jul 14, 2020",1,7
5,2020,7,15,4,1,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",14,130
6,2020,7,15,5,2,Warrior Nun,TV Show,Yes,"Jul 2, 2020",13,99
7,2020,7,15,8,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",26,157
8,2020,7,15,7,3,The Baby-Sitters Club,TV Show,Yes,"Jul 3, 2020",12,70
9,2020,7,15,6,-,The Epic Tales of Captain U…,TV Show,Yes,"Jul 10, 2020",5,23
10,2020,7,15,-,-,The Office,TV Show,No,"Jan 15, 2007",1,1
1,2020,7,16,1,-,The Old Guard,Movie,Yes,"Jul 10, 2020",6,60
2,2020,7,16,4,-,The Business of Drugs,TV Show,Yes,"Jul 14, 2020",2,16
3,2020,7,16,2,-,Down to Earth with Zac Efron,TV Show,Yes,"Jul 10, 2020",6,46
4,2020,7,16,3,3,Dr. Seussâ The Lorax,Movie,No,"Jul 7, 2020",9,64
5,2020,7,16,5,1,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",15,136
6,2020,7,16,6,2,Warrior Nun,TV Show,Yes,"Jul 2, 2020",14,104
7,2020,7,16,-,-,Dark Desire,TV Show,Yes,"Jul 15, 2020",1,4
8,2020,7,16,7,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",27,160
9,2020,7,16,8,4,The Baby-Sitters Club,TV Show,Yes,"Jul 3, 2020",13,72
10,2020,7,16,9,-,The Epic Tales of Captain U…,TV Show,Yes,"Jul 10, 2020",6,24
1,2020,7,17,-,-,Fatal Affair,Movie,Yes,"Jul 16, 2020",1,10
2,2020,7,17,1,-,The Old Guard,Movie,Yes,"Jul 10, 2020",7,69
3,2020,7,17,2,-,The Business of Drugs,TV Show,Yes,"Jul 14, 2020",3,24
4,2020,7,17,3,-,Down to Earth with Zac Efron,TV Show,Yes,"Jul 10, 2020",7,53
5,2020,7,17,4,2,Dr. Seussâ The Lorax,Movie,No,"Jul 7, 2020",10,70
6,2020,7,17,5,1,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",16,141
7,2020,7,17,7,-,Dark Desire,TV Show,Yes,"Jul 15, 2020",2,8
8,2020,7,17,6,3,Warrior Nun,TV Show,Yes,"Jul 2, 2020",15,107
9,2020,7,17,8,10,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",28,162
10,2020,7,17,9,4,The Baby-Sitters Club,TV Show,Yes,"Jul 3, 2020",14,73
1,2020,7,18,1,-,Fatal Affair,Movie,Yes,"Jul 16, 2020",2,20
2,2020,7,18,-,-,Cursed,TV Show,Yes,"Jul 17, 2020",1,9
3,2020,7,18,2,1,The Old Guard,Movie,Yes,"Jul 10, 2020",8,77
4,2020,7,18,3,-,The Business of Drugs,TV Show,Yes,"Jul 14, 2020",4,31
5,2020,7,18,4,6,Down to Earth with Zac Efron,TV Show,Yes,"Jul 10, 2020",8,59
6,2020,7,18,5,3,Dr. Seussâ The Lorax,Movie,No,"Jul 7, 2020",11,75
7,2020,7,18,6,2,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",17,145
8,2020,7,18,7,-,Dark Desire,TV Show,Yes,"Jul 15, 2020",3,11
9,2020,7,18,8,4,Warrior Nun,TV Show,Yes,"Jul 2, 2020",16,109
10,2020,7,18,9,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",29,163
1,2020,7,19,2,-,Cursed,TV Show,Yes,"Jul 17, 2020",2,19
2,2020,7,19,1,-,Fatal Affair,Movie,Yes,"Jul 16, 2020",3,29
3,2020,7,19,3,1,The Old Guard,Movie,Yes,"Jul 10, 2020",9,85
4,2020,7,19,5,4,Down to Earth with Zac Efron,TV Show,Yes,"Jul 10, 2020",9,66
5,2020,7,19,4,-,The Business of Drugs,TV Show,Yes,"Jul 14, 2020",5,37
6,2020,7,19,8,-,Dark Desire,TV Show,Yes,"Jul 15, 2020",4,16
7,2020,7,19,6,3,Dr. Seussâ The Lorax,Movie,No,"Jul 7, 2020",12,79
8,2020,7,19,7,2,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",18,148
9,2020,7,19,9,5,Warrior Nun,TV Show,Yes,"Jul 2, 2020",17,111
10,2020,7,19,10,10,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",30,164
1,2020,7,20,1,-,Cursed,TV Show,Yes,"Jul 17, 2020",3,29
2,2020,7,20,2,-,Fatal Affair,Movie,Yes,"Jul 16, 2020",4,38
3,2020,7,20,3,1,The Old Guard,Movie,Yes,"Jul 10, 2020",10,93
4,2020,7,20,-,-,The Last Dance,TV Show,Yes,"Jul 19, 2020",1,7
5,2020,7,20,4,3,Down to Earth with Zac Efron,TV Show,Yes,"Jul 10, 2020",10,72
6,2020,7,20,6,-,Dark Desire,TV Show,Yes,"Jul 15, 2020",5,21
7,2020,7,20,5,-,The Business of Drugs,TV Show,Yes,"Jul 14, 2020",6,41
8,2020,7,20,8,2,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",19,151
9,2020,7,20,7,4,Dr. Seussâ The Lorax,Movie,No,"Jul 7, 2020",13,81
10,2020,7,20,-,-,Indian Matchmaking,TV Show,Yes,"Jul 16, 2020",1,1
1,2020,7,21,1,-,Cursed,TV Show,Yes,"Jul 17, 2020",4,39
2,2020,7,21,4,-,The Last Dance,TV Show,Yes,"Jul 19, 2020",2,16
3,2020,7,21,2,-,Fatal Affair,Movie,Yes,"Jul 16, 2020",5,46
4,2020,7,21,5,2,Down to Earth with Zac Efron,TV Show,Yes,"Jul 10, 2020",11,79
5,2020,7,21,6,-,Dark Desire,TV Show,Yes,"Jul 15, 2020",6,27
6,2020,7,21,3,1,The Old Guard,Movie,Yes,"Jul 10, 2020",11,98
7,2020,7,21,9,3,Dr. Seussâ The Lorax,Movie,No,"Jul 7, 2020",14,85
8,2020,7,21,7,-,The Business of Drugs,TV Show,Yes,"Jul 14, 2020",7,44
9,2020,7,21,10,-,Indian Matchmaking,TV Show,Yes,"Jul 16, 2020",2,3
10,2020,7,21,8,4,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",20,152
1,2020,7,22,1,-,Cursed,TV Show,Yes,"Jul 17, 2020",5,49
2,2020,7,22,2,-,The Last Dance,TV Show,Yes,"Jul 19, 2020",3,25
3,2020,7,22,3,-,Fatal Affair,Movie,Yes,"Jul 16, 2020",6,54
4,2020,7,22,5,-,Dark Desire,TV Show,Yes,"Jul 15, 2020",7,34
5,2020,7,22,4,2,Down to Earth with Zac Efron,TV Show,Yes,"Jul 10, 2020",12,85
6,2020,7,22,6,1,The Old Guard,Movie,Yes,"Jul 10, 2020",12,103
7,2020,7,22,9,-,Indian Matchmaking,TV Show,Yes,"Jul 16, 2020",3,7
8,2020,7,22,10,5,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",21,155
9,2020,7,22,7,3,Dr. Seussâ The Lorax,Movie,No,"Jul 7, 2020",15,87
10,2020,7,22,-,-,In the Dark,TV Show,No,"Jul 5, 2019",1,1
1,2020,7,23,1,-,Cursed,TV Show,Yes,"Jul 17, 2020",6,59
2,2020,7,23,2,-,The Last Dance,TV Show,Yes,"Jul 19, 2020",4,34
3,2020,7,23,-,-,Fear City: New York vs. The…,TV Show,Yes,"Jul 22, 2020",1,8
4,2020,7,23,4,7,Dark Desire,TV Show,Yes,"Jul 15, 2020",8,41
5,2020,7,23,3,-,Fatal Affair,Movie,Yes,"Jul 16, 2020",7,60
6,2020,7,23,5,3,Down to Earth with Zac Efron,TV Show,Yes,"Jul 10, 2020",13,90
