"name","style","abv","ibu","ounces"
"Blackbeard","American Double / Imperial Stout",0.093,0,12
"Rye Knot","American Brown Ale",0.062,0,12
"Dead Arm","American Pale Ale (APA)",0.06,0,12
"32°/50° Kölsch","Kölsch",0.048,0,16
"HopArt","American IPA",0.077,0,16
"Boy King","American Double / Imperial IPA",0.097,0,16
"Gran Sport","American Porter",0.052,0,16
"Horny Toad Cerveza","American Blonde Ale",0.053,25,16
"Native Amber","American Amber / Red Ale",0.063,35,16
"F5 IPA","American IPA",0.068,100,16
"Native Amber (2013)","American Amber / Red Ale",0.063,35,16
"Horny Toad Cerveza (2013)","American Blonde Ale",0.053,25,16
"Hopportunity Knocks IPA","American IPA",0.068,100,12
"Pilot Rock Porter","American Porter",0.06,0,12
"Caldera Pale Ale","American Pale Ale (APA)",0.056,55,12
"Lawnmower Lager","American Adjunct Lager",0.039,16,12
"Ashland Amber Ale (2009)","American Amber / Red Ale",0.054,24,12
"Caldera IPA (2009)","American IPA",0.061,94,12
"Caldera IPA (2007)","American IPA",0.061,94,12
"Caldera Pale Ale (2010)","American Pale Ale (APA)",0.056,55,12
"Caldera Pale Ale (2009)","American Pale Ale (APA)",0.056,55,12
"Caldera Pale Ale (2005)","American Pale Ale (APA)",0.056,55,12
"Caldera Pale Ale (2007)","American Pale Ale (APA)",0.056,55,12
"Caldera Pale Ale (2011)","American Pale Ale (APA)",0.056,55,12
"Ashland Amber Ale","American Amber / Red Ale",0.054,24,12
"Caldera IPA","American IPA",0.061,94,12
"Remain in Light","American Pilsner",0.05,0,12
"Flower Child (2014)","American IPA",0.065,0,12
"THP White (2006)","Witbier",NA,0,12
"THP Amber (2006)","American Amber / Red Ale",NA,0,12
"THP Light (2006)","American Blonde Ale",NA,0,12
"THP Dark (2006)","English Dark Mild Ale",NA,0,12
"Imperial Pumpkin Stout","Pumpkin Ale",0.099,43,16
"Dead-Eye DIPA","American Double / Imperial IPA",0.09,130,16
"Fisherman's IPA","American IPA",0.055,64,12
"Fisherman's Pils","German Pilsener",0.054,35,12
"Fisherman's Brew","American Amber / Red Ale",0.055,30,12
"Cape Cod Red","American Amber / Red Ale",0.055,35,16
"Beach Blonde","American Blonde Ale",0.049,10,16
"Dark Voyage Black IPA (2013)","American Black Ale",0.065,80,12
"Wisconsin Amber","Vienna Lager",0.052,28,12
"Lake House","Munich Helles Lager",0.046,18,12
"Ghost Ship White IPA","American IPA",0.056,55,12
"Lake House","Munich Helles Lager",0.046,18,16
"Mutiny IPA","American IPA",0.062,70,12
"Wisconsin Amber (1998)","Vienna Lager",0.052,0,12
"Island Wheat","American Pale Wheat Ale",0.042,0,12
"Wisconsin Amber (2013)","Vienna Lager",0.052,0,12
"U.S. Pale Ale","American Pale Ale (APA)",0.05,0,12
"Supper Club Lager","American Pale Lager",NA,0,12
"Carolina Lighthouse (2007)","American Blonde Ale",0.04,0,12
"Carolina Blonde (2006)","American Blonde Ale",0.05,0,12
"Carolina Blonde Light (2005)","American Blonde Ale",0.035,0,12
"Santa's Secret","Winter Warmer",0.059,22,16
"Flagship IPA","English India Pale Ale (IPA)",0.057,0,12
"Sky Blue Golden Ale","Kölsch",0.051,0,12
"Epitome","American Black Ale",0.099,100,16
"Monkey Chased the Weasel","Berliner Weissbier",0.039,9,16
"077XX","American Double / Imperial IPA",0.078,80,16
"Boat Beer","American IPA",0.042,35,12
"Granny Smith Hard Apple Cider","Cider",0.069,0,16
"Dry Hard Apple Cider","Cider",0.069,0,16
"Farmer Ted's Cream Ale","Cream Ale",0.056,0,12
"Firewater India Pale Ale","American IPA",0.052,0,12
"White Zombie Ale","Witbier",0.047,0,12
"King Winterbolt Winter Ale","Winter Warmer",0.07,0,12
"White Zombie Ale","Witbier",0.047,0,12
"Firewater India Pale Ale","American IPA",0.052,0,12
"Farmer Ted's Farmhouse Cream Ale","Cream Ale",0.056,0,12
"Whitecap Wit","Witbier",0.048,16,16
"Seiche Scottish Ale","Scottish Ale",0.078,16,16
"Peanut Butter Jelly Time","American Brown Ale",0.058,0,12
"King Coconut","American Porter",0.054,0,12
"Gone A-Rye","American Double / Imperial IPA",0.085,90,16
"Special Release",NA,NA,0,16
"Dankosaurus","American IPA",0.068,70,16
"Scruffy's Smoked Alt","Smoked Beer",0.051,35,16
"Elliott's Phoned Home Pale Ale","American Pale Ale (APA)",0.051,36,16
"The Lawn Ranger","Cream Ale",0.05,18,16
"All American Blonde Ale","American Blonde Ale",0.05,0,12
"All American Red Ale","American Amber / Red Ale",0.05,0,12
"Main St. Virginia Ale","Altbier",0.05,40,12
"Chin Music Amber Lager","American Amber / Red Lager",0.045,24,12
"Main St. Virginia Ale","Altbier",0.05,40,12
"Ray Ray’s Pale Ale","American Pale Ale (APA)",0.052,42,12
"Chai Ale","Herbed / Spiced Beer",0.051,15,16
"Lucky Day IPA","American IPA",0.072,85,16
"Terrace Hill Double IPA","American Double / Imperial IPA",0.095,99,16
"Catch 23","American Black Ale",0.075,77,16
"Stickin' In My Rye","Rye Beer",0.07,0,24
"Black Me Stout","American Stout",0.06,45,12
"Killer Kolsch","Kölsch",0.05,22,12
"Missile IPA","American IPA",0.07,65,12
"Enlighten","Kölsch",0.045,0,16
"Ale Cider","Fruit / Vegetable Beer",0.065,8,16
"Pail Ale","American Pale Ale (APA)",0.055,30,16
"Englishman","English Brown Ale",0.045,0,16
"8 Barrel","American Strong Ale",0.08,69,16
"Oktoberfest","Märzen / Oktoberfest",0.055,40,16
"IPA #11","American IPA",0.057,58,16
"Blood Orange Honey","Fruit / Vegetable Beer",0.057,10,16
"Lighthouse Amber","Altbier",0.052,0,16
"Bay of Bengal Double IPA (2014)","American Double / Imperial IPA",0.089,126,12
"Churchkey Pilsner Style Beer","American Pilsner",0.049,29,12
"First Press","Cider",0.05,0,12
"Magic Apple","Cider",0.05,0,12
"Cubano Espresso","Bock",0.055,25,12
"Operation Homefront","American IPA",0.062,65,12
"Wandering Pelican","American Black Ale",0.082,65,12
"Sugar Plum","American Brown Ale",0.055,0,12
"Oktoberfest","Märzen / Oktoberfest",0.055,0,12
"Puppy's Breath Porter","American Porter",0.06,0,12
"Happening Now","American IPA",0.045,0,12
"Hopped on the High Seas (Hop #529)","American IPA",0.07,60,12
"Hopped on the High Seas (Calypso)","American IPA",0.07,60,12
"Wiregrass Post-Prohibition Ale","American Pale Ale (APA)",0.063,0,12
"Dry-Hopped On The High Seas Caribbean-Style IPA","American IPA",0.07,60,12
"Hopped on the High Seas (Citra)","American IPA",0.07,60,12
"Hopped on the High Seas (Ahtanum)","American IPA",0.07,60,12
"Gwar Beer","American Pale Ale (APA)",0.055,0,12
"Tropical Heatwave","American Pale Wheat Ale",0.052,0,16
"Humidor Series India Pale Ale","American IPA",0.075,70,12
"Jai Alai IPA Aged on White Oak","American IPA",0.075,70,12
"José Martí American Porter","American Porter",0.08,65,12
"Invasion Pale Ale","American Pale Ale (APA)",0.05,0,12
"Maduro Brown Ale","English Brown Ale",0.055,25,12
"Maduro Brown Ale","American Brown Ale",0.055,25,12
"Hotter Than Helles Lager","Munich Helles Lager",0.05,0,12
"Tocobaga Red Ale","American Amber / Red Ale",0.072,75,12
"Jai Alai IPA","American IPA",0.075,70,12
"Florida Cracker Belgian Wit","Witbier",0.05,18,12
"Shark Tracker Light lager","Light Lager",0.048,0,12
"Pumple Drumkin","Pumpkin Ale",0.06,0,12
"Grey Lady","Witbier",0.045,0,12
"Summer of Lager","Munich Helles Lager",0.062,0,12
"Indie Pale Ale","American IPA",0.065,0,12
"Sankaty Light Lager","Light Lager",0.038,0,12
"Whale's Tale Pale Ale","English Pale Ale",0.056,0,12
"Jacaranada Rye IPA","American IPA",0.067,60,16
"Cascadian Dark Ale","American Black Ale",0.06,75,12
"Wheat the People","American Pale Wheat Ale",0.044,13,16
"Tybee Island Blonde","American Blonde Ale",0.047,17,12
"Savannah Brown Ale","American Brown Ale",0.062,55,12
"Rhode Island Blueberry","Kölsch",0.046,11,12
"Newport Storm IPA","American IPA",0.065,75,12
"Hurricane Amber Ale (2004)","American Amber / Red Ale",0.052,24,12
"Hurricane Amber Ale","American Amber / Red Ale",0.052,24,12
"Big Blue Van","Fruit / Vegetable Beer",0.058,0,16
"Des Moines IPA","American IPA",0.068,75,16
"Capital Gold Golden Lager","German Pilsener",0.048,22,16
"Farmer John's Multi-Grain Ale","American Blonde Ale",0.056,21,16
"Behemoth","American Pilsner",0.05,0,12
"Arkansas Red","American Amber / Red Ale",0.052,0,12
"Core Oatmeal Stout","Oatmeal Stout",0.057,0,12
"Core ESB","Extra Special / Strong Bitter (ESB)",0.061,0,12
"Chester's Beer (2005)","American Pale Lager",0.038,0,12
"Heiner Brau Kölsch","Kölsch",0.05,0,12
"Trigger Blonde Ale","American Blonde Ale",0.048,0,16
"Crabtree Oatmeal Stout","Oatmeal Stout",0.075,29,16
"Eclipse Black IPA","American Black Ale",0.077,71,16
"Neomexicanus Native","American Pale Ale (APA)",0.06,46,12
"Old Soul","Belgian Strong Pale Ale",0.075,25,12
"Snowcat Coffee Stout","American Stout",0.059,0,12
"WinterWonderGrass Festival Ale","American Amber / Red Ale",NA,0,12
"Boohai Red Ale","American Amber / Red Ale",NA,0,12
"Lava Lake Wit","Witbier",0.052,15,12
"Mountain Livin' Pale Ale","American Pale Ale (APA)",0.06,0,12
"Crazy Mountain Amber Ale","American Amber / Red Ale",0.052,25,12
"Tropicalia","American IPA",0.065,65,12
"Athena","Berliner Weissbier",0.045,0,12
"Aviator Raspberry Blonde","American Blonde Ale",0.049,25,12
"3 Picket Porter","American Porter",0.055,0,12
"Rusty Nail Pale Ale","American Pale Ale (APA)",0.056,0,12
"Red Water Irish Style Red","American Amber / Red Ale",0.065,0,12
"Mjöllnir","Herbed / Spiced Beer",0.066,0,12
"Bear Butte Nut Brown Ale","American Brown Ale",0.055,0,12
"Easy Livin' Summer Ale","American Blonde Ale",0.045,0,12
"Canyon Cream Ale","Cream Ale",0.055,0,12
"Pile O'Dirt Porter","American Porter",0.069,0,12
"11th Hour IPA","American IPA",0.06,0,12
"South Ridge Amber Ale","American Amber / Red Ale",0.06,31,16
"Summertime Ale","Kölsch",0.052,23,16
"Lost River Blonde Ale","American Blonde Ale",0.049,0,16
"Monon Wheat","Witbier",0.054,0,16
"Floyd's Folly","Scottish Ale",0.08,0,16
"Half Court IPA","American IPA",0.063,0,16
"Geary's Pale Ale","English Pale Ale",0.045,0,12
"Geary's Summer Ale","Kölsch",0.06,0,12
"Stone of Arbroath","Scotch Ale / Wee Heavy",0.08,0,12
"The Tradition","American Blonde Ale",0.05,15,12
"El Hefe Speaks","Hefeweizen",0.053,11,12
"Penn Quarter Porter","American Porter",0.055,0,12
"On the Wings of Armageddon","American Double / Imperial IPA",0.092,115,12
"The Corruption","American IPA",0.065,80,12
"The Citizen","Belgian Pale Ale",0.07,0,12
"The Public","American Pale Ale (APA)",0.06,0,12
"Dank IPA","American IPA",0.065,0,16
"Dank IPA (2012)","American IPA",0.065,0,16
"Lift Off IPA","American IPA",0.072,0,16
"BrewFarm Select Golden Lager","American Pale Lager",0.055,0,12
"Sprocket Blonde Ale (2006)","American Blonde Ale",0.05,0,12
"Sprocket Pale Ale (2006)","American Pale Ale (APA)",0.05,0,12
"Dead Armadillo Amber Ale","American Amber / Red Ale",0.063,37,12
"Neato Bandito","Euro Pale Lager",0.06,0,12
"Oak Cliff Coffee Ale","American Brown Ale",0.075,33,12
"Dream Crusher Double IPA","American Double / Imperial IPA",0.085,100,12
"Deep Ellum Pale Ale","American Pale Ale (APA)",0.06,0,12
"Double Brown Stout","Baltic Porter",0.07,0,12
"Farmhouse Wit","Saison / Farmhouse Ale",0.048,25,16
"Rye Pils Session Lager","German Pilsener",0.046,0,12
"Dallas Blonde","American Blonde Ale",0.052,23,12
"Deep Ellum IPA","American IPA",0.07,70,12
"Thrasher Session India Pale Ale","American IPA",0.045,44,12
"Gutch English Style Mild Ale","English Pale Mild Ale",0.05,16,12
"Chuli Stout","Irish Dry Stout",0.059,55,12
"Mother Ale","American Blonde Ale",0.056,46,12
"Twister Creek India Pale Ale","American IPA",0.065,71,12
"Single Engine Red","Irish Red Ale",0.058,46,12
"Incredible Pedal IPA","American IPA",0.07,0,12
"Graham Cracker Porter","American Porter",0.05,0,12
"Mirror Pond Pale Ale","American Pale Ale (APA)",0.05,40,12
"Weissenheimer","Hefeweizen",0.052,16,12
"Abbey's Single (2015- )","Abbey Single Ale",0.049,22,12
"Vertex IPA","American IPA",0.063,76,12
"Here Gose Nothin'","Gose",0.05,12,12
"Strawberry Blonde","Fruit / Vegetable Beer",0.05,0,12
"Hoperation Overload","American Double / Imperial IPA",0.096,85,12
"Abbey's Single Ale (Current)","Abbey Single Ale",0.049,22,12
"Bravo Four Point","American Pale Ale (APA)",0.044,45,12
"Striped Bass Pale Ale","American Pale Ale (APA)",0.052,26,12
"Deadicated Amber","American Amber / Red Ale",0.054,27,16
"Kaleidoscope Collaboration 2012","American Black Ale",NA,0,16
"California Sunshine Rye IPA","American IPA",0.071,85,16
"Full Boar Scotch Ale","Scotch Ale / Wee Heavy",0.074,12,16
"12 Man Pale Ale","American Pale Ale (APA)",0.045,0,12
"Filthy Hoppin' IPA","American IPA",0.065,72,16
"Dock Street Amber Beer (1992)","American Amber / Red Ale",NA,0,12
"Dolores River Hefeweizen","Hefeweizen",NA,0,16
"Dolores River ESB","Extra Special / Strong Bitter (ESB)",NA,0,16
"Snaggletooth Double Pale Ale","American Double / Imperial IPA",NA,0,16
"Dolores River Pale Ale","American Pale Ale (APA)",NA,0,16
"Dolores River Dry Stout","Irish Dry Stout",NA,0,16
"Dolores River Mild","English Dark Mild Ale",NA,0,16
"Cranberry Blend","Cider",0.049,0,12
"Orignal Blend","Cider",0.051,0,12
"Hop Abomination","American IPA",0.066,100,12
"Apricot Blonde","Fruit / Vegetable Beer",0.051,17,12
"Dry Dock Hefeweizen","Hefeweizen",0.043,12,12
"Dry Dock Amber Ale","American Amber / Red Ale",0.058,49,12
"Category 3 IPA","American IPA",0.061,64,12
"Dundee Summer Wheat Beer","American Pale Wheat Ale",0.045,18,12
"Pumpkin Patch Ale","Pumpkin Ale",0.05,0,16
"Crank Yanker IPA","American IPA",0.078,74,16
"River Runners Pale Ale","American Pale Ale (APA)",0.06,0,16
"Pumpkin Patch Ale (2012)","Pumpkin Ale",0.05,0,16
"Mountain Fairy Raspberry Wheat","Fruit / Vegetable Beer",0.055,0,16
"Boater Beer","German Pilsener",0.045,0,16
"Crank Yanker IPA (2011)","American IPA",0.078,74,16
"Bleeding Buckeye Red Ale","Extra Special / Strong Bitter (ESB)",0.057,0,16
"Dottie Seattle Lager","American Amber / Red Lager",0.049,25,16
"Nut Sack Imperial Brown Ale","American Brown Ale",0.07,0,12
"Underachiever","American Adjunct Lager",0.05,0,16
"Lil' Brainless Raspberries","Fruit / Vegetable Beer",0.052,0,12
"Element 29","American Pale Ale (APA)",0.052,0,12
"Hop Syndrome","American Pale Lager",0.05,0,12
"Escape to Colorado","American IPA",0.062,0,12
"Little Sister India Style Session Ale","American IPA",0.043,60,12
"Country Boy IPA","American IPA",0.062,80,12
"Blonde Czich","American Blonde Ale",0.049,23,16
"White Reaper","Belgian IPA",0.07,61,16
"Bobblehead","American Pale Wheat Ale",0.051,0,16
"Lucky Dog","American Pale Ale (APA)",0.052,0,16
"Voodoo","American Porter",0.048,0,16
"General George Patton Pilsner","Czech Pilsener",0.054,48,16
"Nomader Weiss","Berliner Weissbier",0.04,0,12
"Molotov Lite","American Double / Imperial IPA",0.085,0,16
"Hipster Ale (Two Roads Brewing)","American Pale Ale (APA)",0.055,0,12
"Bikini Beer","American IPA",0.027,0,12
"Hipster Ale (Westbrook Brewing)","American Pale Ale (APA)",0.055,0,12
"Iron Horse Pale Ale","American Pale Ale (APA)",0.05,32,12
"Stone's Throw IPA","Scottish Ale",0.045,19,12
"Wood Chipper India Pale Ale","American IPA",0.067,70,12
"Trail Head","American Pale Ale (APA)",0.063,55,12
"Hop Stalker Fresh Hop IPA","American IPA",0.07,80,16
"Sudice American Stout","American Stout",0.07,58,16
"Parcae Belgian Style Pale Ale","Belgian Pale Ale",0.05,20,16
"Norns Roggenbier","Roggenbier",0.05,20,16
"Laimas Kölsch Style Ale","Kölsch",0.05,20,16
"Moirai India Pale Ale","American IPA",0.07,70,16
"Loki Red Ale","American Amber / Red Ale",0.075,53,16
"Peaches & Cream","Fruit / Vegetable Beer",0.046,0,16
"Quaff India Style Session Ale","American IPA",0.051,0,16
"Loki Red Ale (2013)","American Amber / Red Ale",0.075,53,16
"Mjolnir Imperial IPA","American Double / Imperial IPA",0.069,0,16
"Fearless Scottish Ale","Scottish Ale",0.05,0,16
"Mastermind","American Double / Imperial IPA",0.081,0,12
"Hyzer Flip","American Double / Imperial IPA",0.082,0,16
"Second Fiddle","American Double / Imperial IPA",0.082,80,16
"Hodad Porter","American Porter",0.055,30,16
"Weiss Weiss Baby","Kristalweizen",0.045,0,12
"Czech Yo Self","Czech Pilsener",0.055,45,12
"FMB 101","Kölsch",0.048,20,12
"Hardcore Chimera","American Double / Imperial IPA",0.09,0,16
"Sobek & Set","American Black Ale",0.08,80,16
"Nuclear Winter","Belgian Strong Dark Ale",0.086,0,16
"Wet Hot American Wheat Ale","American Pale Wheat Ale",0.05,22,16
"Secret Stache Stout","American Stout",0.053,0,16
"Fascist Pig Ale","American Amber / Red Ale",0.08,72,16
"Cut Throat Pale Ale","American Pale Ale (APA)",0.055,0,16
"Threadless IPA","American IPA",0.075,0,16
"Cut Throat Pale Ale (2011)","American Pale Ale (APA)",0.055,0,16
"Golden Wing Blonde Ale","American Blonde Ale",0.047,0,16
"Easy Jack","American IPA",0.045,47,12
"Union Jack","American IPA",0.075,75,12
"Pivo Pils","German Pilsener",0.053,0,12
"805 Blonde Ale","American Blonde Ale",0.047,0,12
"805","American Blonde Ale",0.047,20,12
"Deflator","Doppelbock",0.065,0,16
"Hinchtown Hammer Down","American Blonde Ale",0.05,27,16
"Half Cycle IPA","American IPA",0.06,104,16
"Inclined Plane Ale","American IPA",NA,0,12
"Moped Traveler","American Pale Ale (APA)",0.055,0,16
"Snake Dog IPA","American IPA",0.071,60,12
"Underdog Atlantic Lager","American Pale Lager",0.047,28,12
"Flying Mouse 8","American Porter",0.04,0,12
"Flying Mouse 4","American IPA",0.07,70,12
"La Ferme Urbaine Farmhouse Ale","Saison / Farmhouse Ale",0.078,0,12
"Backyahd IPA","American IPA",0.06,0,12
"Raincloud Robust Porter","American Porter",0.065,0,12
"Barstool American Golden Ale","American Blonde Ale",0.045,0,12
"What the Butler Saw","Witbier",0.05,18,12
"1916 Shore Shiver","American IPA",0.069,65,12
"Quick WIT","Belgian Pale Ale",0.052,0,12
"The Optimist","American IPA",0.062,0,12
"Suicide Squeeze IPA","American IPA",0.045,0,16
"Java the Hop","American IPA",0.065,0,16
"Next Adventure Black IPA","American Black Ale",0.062,0,16
"3-Way IPA (2013)","American IPA",0.067,0,16
"Tender Loving Empire NWPA","American Pale Ale (APA)",0.058,0,16
"Quick Wit Belgianesque Ale","Witbier",0.052,0,16
"Sunrise Oatmeal Pale Ale","American Pale Ale (APA)",0.055,0,16
"Cavatica Stout","American Double / Imperial Stout",0.088,0,16
"1811 Lager","American Amber / Red Lager",0.051,0,16
"Vortex IPA","American IPA",0.074,97,16
"Fort Pitt Ale","American Amber / Red Ale",NA,0,12
"Park","American Pale Wheat Ale",0.047,19,12
"Westfalia","American Amber / Red Ale",0.056,16,12
"KSA","Kölsch",0.046,17,12
"Villager","American IPA",0.063,42,12
"Dirty Bastard","Scotch Ale / Wee Heavy",0.085,50,12
"Centennial IPA","American IPA",0.072,65,12
"All Day IPA","American IPA",0.047,42,12
"El Chingon IPA","American IPA",0.076,73,12
"Block Party Robust Porter","American Porter",0.057,40,12
"Local Buzz","American Blonde Ale",0.052,20,12
"Feel Like Maplin' Love","Oatmeal Stout",0.055,0,16
"Father's Beer","Belgian Pale Ale",0.05,0,16
"The 26th","American IPA",0.06,0,16
"The Gadget","American IPA",0.064,90,16
"Leprechaun Lager","American Pale Lager",0.04,0,12
"Sunbru Kölsch","Kölsch",0.052,17,12
"Kilt Lifter Scottish-Style Ale",NA,0.06,21,12
"Pumpkin Porter","American Porter",0.051,0,12
"Four Peaks Peach Ale","Fruit / Vegetable Beer",0.042,9,12
"Hop Knot IPA","American IPA",0.067,47,12
"Kilt Lifter Scottish-Style Ale (2009)","Scottish Ale",0.06,21,12
"Sunbru Kölsch","Kölsch",0.052,0,12
"Four String Vanilla Porter","American Porter",0.06,0,12
"Suncaster Summer Wheat","American Pale Wheat Ale",0.05,28,12
"Brass Knuckle Pale Ale","American Pale Ale (APA)",0.057,36,12
"Big Star White IPA","American White IPA",0.07,70,12
"Old Detroit","American Amber / Red Ale",0.056,0,12
"Batch 69 IPA","American IPA",0.069,69,12
"Twisted Helles Summer Lager","Munich Helles Lager",0.055,18,12
"OktoberFiesta",NA,0.053,27,12
"Texicali","American Brown Ale",0.065,33,12
"Pinata Protest","Witbier",0.06,0,12
"Bat Outta Helles","Munich Helles Lager",0.042,20,12
"Original","American Amber / Red Ale",0.068,0,12
"Rye Wit","Witbier",0.042,10,12
"Soul Doubt","American IPA",0.059,70,12
"Yo Soy Un Berliner","Berliner Weissbier",0.044,5,12
"77 Fremont Select Spring Session IPA","American IPA",0.04,0,12
"Fremont Organic Pale Ale","American Pale Ale (APA)",0.045,0,12
"Abominable Ale","English Strong Ale",0.08,0,12
"Harvest Ale","Saison / Farmhouse Ale",0.065,35,12
"Fremont Summer Ale","American Pale Ale (APA)",0.065,45,12
"Universale Pale Ale","American Pale Ale (APA)",0.056,30,12
"Interurban IPA","American IPA",0.065,80,12
"Gateway Kolsch Style Ale","Kölsch",0.053,32,12
"Wee-Heavy-Er Scotch Ale","Scotch Ale / Wee Heavy",0.07,24,12
"13 Rebels ESB","Extra Special / Strong Bitter (ESB)",0.052,42,12
"Salamander Slam","American IPA",0.07,73,16
"Cack-A-Lacky","American Pale Ale (APA)",0.05,0,12
"No Wake IPA","American IPA",0.072,50,12
"Boathouse Blonde","American Blonde Ale",0.049,15,12
"Cedar Point","American Amber / Red Ale",0.05,26,12
"Clean Shave IPA","American IPA",0.067,70,12
"Might As Well IPL","American Pale Lager",0.072,75,16
"Saison Pamplemousse","Saison / Farmhouse Ale",0.058,35,12
"2020 IPA","American IPA",0.074,74,16
"Wolf Among Weeds IPA","American IPA",0.08,70,16
"Better Weather IPA","American IPA",0.094,92,16
"Point the Way IPA","American IPA",0.059,60,16
"Golden Road Hefeweizen","Hefeweizen",0.046,15,16
"Heal the Bay IPA","American IPA",0.068,65,16
"Point the Way IPA","American IPA",0.059,60,12
"Cabrillo Kölsch","Kölsch",0.05,0,16
"Get Up Offa That Brown","American Brown Ale",0.055,20,16
"Burning Bush Smoked IPA","American IPA",0.08,70,16
"Wolf Among Weeds IPA (2012)","American IPA",0.08,70,16
"Point the Way IPA (2012)","American IPA",0.059,60,16
"Golden Road Hefeweizen (2012)","Hefeweizen",0.046,15,16
"Vanilla Porter","American Porter",0.07,11,16
"Descender IPA","American IPA",0.07,70,12
"Sweet As Pacific Ale","American Pale Wheat Ale",0.06,18,12
"Good People Pale Ale","American Pale Ale (APA)",0.056,36,12
"Snake Handler Double IPA","American Double / Imperial IPA",0.093,103,12
"Coffee Oatmeal Stout","Oatmeal Stout",0.06,54,12
"Good People IPA","American IPA",0.06,64,12
"Good People American Brown Ale","American Brown Ale",0.058,36,12
"Mountain Rescue Pale Ale","American Pale Ale (APA)",0.055,40,12
"Goose Island India Pale Ale","American IPA",0.059,55,12
"312 Urban Pale Ale","American Pale Ale (APA)",0.054,30,16
"312 Urban Pale Ale","American Pale Ale (APA)",0.054,30,12
"312 Urban Wheat Ale","American Pale Wheat Ale",0.042,18,16
"312 Urban Wheat Ale","American Pale Wheat Ale",0.042,18,12
"312 Urban Wheat Ale (2012)","American Pale Wheat Ale",0.042,20,12
"Beaver Logger","American Pale Lager",0.052,19,12
"White Water Wheat","American Pale Wheat Ale",0.05,0,12
"Grand Canyon American Pilsner","American Pilsner",0.052,0,12
"Grand Canyon Sunset Amber Ale","American Amber / Red Ale",0.054,0,12
"Black Iron India Pale Ale","American IPA",NA,0,12
"Monarch Classic American Wheat","American Pale Wheat Ale",0.043,21,12
"Sir William's English Brown Ale","English Brown Ale",0.049,21,12
"Lakefire Rye Pale Ale","American Pale Ale (APA)",0.055,35,12
"Beer Agent Re-Ignition","American Blonde Ale",0.053,22,16
"Cherry Ale","Fruit / Vegetable Beer",0.057,18,16
"Bourbon Barrel Aged Coconut Porter","American Porter",0.056,33,16
"Great Crescent IPA","American IPA",0.062,60,16
"Aurora Lager","Dortmunder / Export Lager",0.057,27,16
"Great Crescent Blonde Ale","American Blonde Ale",0.053,22,16
"Great Crescent Coconut Porter","American Porter",0.056,33,16
"Great Crescent Oktoberfest Lager","Märzen / Oktoberfest",0.057,25,16
"Great Crescent Brown Ale","American Brown Ale",0.045,36,16
"Cherry Ale (1)","Fruit / Vegetable Beer",0.057,18,16
"Aurora Lager (2011)","Dortmunder / Export Lager",0.057,27,16
"Frosted Fields Winter Wheat","American Dark Wheat Ale",0.06,25,16
"Great Crescent Belgian Style Wit","Witbier",0.051,13,16
"Bourbon's Barrel Stout","American Stout",0.075,65,16
"Great Crescent Stout","English Stout",0.08,66,16
"Great Crescent Coconut Porter (2012)","American Porter",0.056,33,16
"Great Crescent Dark Lager","Euro Dark Lager",0.057,23,16
"Great Crescent Mild Ale","English Dark Mild Ale",0.042,26,16
"Great Crescent IPA (2011)","American IPA",0.062,60,16
"Great Crescent Blonde Ale (2011)","American Blonde Ale",0.053,22,16
"Denver Pale Ale (Artist Series No. 1)","American Pale Ale (APA)",0.05,0,12
"Hibernation Ale","Old Ale",0.087,0,12
"Whitewater","American Pale Wheat Ale",0.061,0,12
"Rumble","American IPA",0.071,0,12
"Orabelle","Tripel",0.083,0,12
"Lasso","American IPA",0.05,0,12
"Yeti  Imperial Stout","Russian Imperial Stout",0.095,75,12
"Colette","Saison / Farmhouse Ale",0.073,0,12
"Titan IPA","American IPA",0.071,0,12
"Black Star Double Hopped Golden Lager (24 oz.)","American Pale Lager",0.045,15,24
"Black Star Double Hopped Golden Lager (12 oz.)","American Pale Lager",0.045,15,12
"Commotion APA","American Pale Ale (APA)",0.052,49,12
"Southern Drawl Pale Lager","American Pale Lager",0.052,0,12
"Chickawawa Lemonale","Fruit / Vegetable Beer",0.05,5,12
"Barrel Aged Farmer","American Brown Ale",0.07,22,16
"Great River Golden Ale","American Blonde Ale",0.048,0,12
"Dirty Blonde Chocolate Ale","American Blonde Ale",0.048,0,12
"Dos Pistolas","Vienna Lager",0.048,20,12
"Owney Irish Style Red Ale","Irish Red Ale",0.05,30,16
"Aaah Bock Lager","Vienna Lager",0.06,0,16
"Widespread Wit","Witbier",0.055,10,16
"Roller Dam Red Ale","Irish Red Ale",0.054,30,16
"483 Pale Ale","American Pale Ale (APA)",0.053,48,16
"Hop A Potamus Double Dark Rye Pale Ale","Rye Beer",0.09,99,16
"Farmer Brown Ale","American Brown Ale",0.07,22,16
"Big Cock IPA","American IPA",0.07,70,16
"Oktoberfest","Märzen / Oktoberfest",0.059,25,16
"40th Annual Bix Street Fest Copper Ale (Current)","American Amber / Red Ale",0.048,25,16
"Redband Stout","American Stout",0.06,36,16
"483 Pale Ale (2010)","American Pale Ale (APA)",0.053,48,16
"Roller Dam Red Ale (2010)","Irish Red Ale",0.054,30,16
"Pablo Beach Pale Ale","American Pale Ale (APA)",0.05,30,12
"Wild Trail Pale Ale","American Pale Ale (APA)",0.057,44,12
"Mothman Black IPA","American Black Ale",0.067,71,12
